Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,8e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH3
-3.00000e-01,0.486875
-2.99992e-01,0.485672
-2.99984e-01,0.4865
-2.99976e-01,0.487375
-2.99968e-01,0.485344
-2.99960e-01,0.485609
-2.99952e-01,0.486109
-2.99944e-01,0.486375
-2.99936e-01,0.485609
-2.99928e-01,0.486109
-2.99920e-01,0.485219
-2.99912e-01,0.487
-2.99904e-01,0.486391
-2.99896e-01,0.485938
-2.99888e-01,0.484828
-2.99880e-01,0.484125
-2.99872e-01,0.485672
-2.99864e-01,0.486875
-2.99856e-01,0.486234
-2.99848e-01,0.485609
-2.99840e-01,0.486
-2.99832e-01,0.486547
-2.99824e-01,0.486547
-2.99816e-01,0.487031
-2.99808e-01,0.483641
-2.99800e-01,0.4865
-2.99792e-01,0.485594
-2.99784e-01,0.487313
-2.99776e-01,0.486156
-2.99768e-01,0.486
-2.99760e-01,0.4865
-2.99752e-01,0.487
-2.99744e-01,0.485656
-2.99736e-01,0.4865
-2.99728e-01,0.4855
-2.99720e-01,0.486672
-2.99712e-01,0.486
-2.99704e-01,0.485172
-2.99696e-01,0.485781
-2.99688e-01,0.486375
-2.99680e-01,0.484516
-2.99672e-01,0.487266
-2.99664e-01,0.485328
-2.99656e-01,0.486328
-2.99648e-01,0.485625
-2.99640e-01,0.486766
-2.99632e-01,0.484578
-2.99624e-01,0.486109
-2.99616e-01,0.486438
-2.99608e-01,0.487766
-2.99600e-01,0.4865
-2.99592e-01,0.484859
-2.99584e-01,0.486438
-2.99576e-01,0.484406
-2.99568e-01,0.485156
-2.99560e-01,0.484906
-2.99552e-01,0.485984
-2.99544e-01,0.485984
-2.99536e-01,0.485766
-2.99528e-01,0.485734
-2.99520e-01,0.4865
-2.99512e-01,0.485219
-2.99504e-01,0.485344
-2.99496e-01,0.487313
-2.99488e-01,0.485656
-2.99480e-01,0.485672
-2.99472e-01,0.486109
-2.99464e-01,0.486031
-2.99456e-01,0.485344
-2.99448e-01,0.486047
-2.99440e-01,0.485734
-2.99432e-01,0.486063
-2.99424e-01,0.485234
-2.99416e-01,0.485234
-2.99408e-01,0.485344
-2.99400e-01,0.487766
-2.99392e-01,0.485563
-2.99384e-01,0.486281
-2.99376e-01,0.486328
-2.99368e-01,0.487266
-2.99360e-01,0.486109
-2.99352e-01,0.486938
-2.99344e-01,0.485609
-2.99336e-01,0.484469
-2.99328e-01,0.485781
-2.99320e-01,0.485609
-2.99312e-01,0.485609
-2.99304e-01,0.485719
-2.99296e-01,0.487438
-2.99288e-01,0.483516
-2.99280e-01,0.485609
-2.99272e-01,0.487813
-2.99264e-01,0.485219
-2.99256e-01,0.485344
-2.99248e-01,0.486109
-2.99240e-01,0.485609
-2.99232e-01,0.484969
-2.99224e-01,0.484969
-2.99216e-01,0.486063
-2.99208e-01,0.484078
-2.99200e-01,0.485266
-2.99192e-01,0.48675
-2.99184e-01,0.484797
-2.99176e-01,0.486375
-2.99168e-01,0.485719
-2.99160e-01,0.485234
-2.99152e-01,0.485219
-2.99144e-01,0.4865
-2.99136e-01,0.484844
-2.99128e-01,0.486875
-2.99120e-01,0.485984
-2.99112e-01,0.486063
-2.99104e-01,0.485734
-2.99096e-01,0.4865
-2.99088e-01,0.484578
-2.99080e-01,0.485406
-2.99072e-01,0.486172
-2.99064e-01,0.485938
-2.99056e-01,0.486438
-2.99048e-01,0.485547
-2.99040e-01,0.485672
-2.99032e-01,0.487625
-2.99024e-01,0.486063
-2.99016e-01,0.485609
-2.99008e-01,0.485609
-2.99000e-01,0.484797
-2.98992e-01,0.485656
-2.98984e-01,0.486
-2.98976e-01,0.486672
-2.98968e-01,0.485906
-2.98960e-01,0.486172
-2.98952e-01,0.484797
-2.98944e-01,0.484781
-2.98936e-01,0.486984
-2.98928e-01,0.484797
-2.98920e-01,0.485734
-2.98912e-01,0.486
-2.98904e-01,0.485609
-2.98896e-01,0.486266
-2.98888e-01,0.484734
-2.98880e-01,0.486109
-2.98872e-01,0.484969
-2.98864e-01,0.485734
-2.98856e-01,0.486063
-2.98848e-01,0.485563
-2.98840e-01,0.486328
-2.98832e-01,0.486047
-2.98824e-01,0.486156
-2.98816e-01,0.484469
-2.98808e-01,0.484125
-2.98800e-01,0.485297
-2.98792e-01,0.485625
-2.98784e-01,0.485172
-2.98776e-01,0.487375
-2.98768e-01,0.483641
-2.98760e-01,0.486922
-2.98752e-01,0.485281
-2.98744e-01,0.485281
-2.98736e-01,0.484906
-2.98728e-01,0.484844
-2.98720e-01,0.486438
-2.98712e-01,0.484844
-2.98704e-01,0.4865
-2.98696e-01,0.486375
-2.98688e-01,0.484781
-2.98680e-01,0.486156
-2.98672e-01,0.484797
-2.98664e-01,0.485594
-2.98656e-01,0.485109
-2.98648e-01,0.485609
-2.98640e-01,0.485609
-2.98632e-01,0.486109
-2.98624e-01,0.4865
-2.98616e-01,0.486703
-2.98608e-01,0.486766
-2.98600e-01,0.484844
-2.98592e-01,0.484906
-2.98584e-01,0.486109
-2.98576e-01,0.485734
-2.98568e-01,0.486109
-2.98560e-01,0.486547
-2.98552e-01,0.484953
-2.98544e-01,0.485328
-2.98536e-01,0.484141
-2.98528e-01,0.485672
-2.98520e-01,0.485219
-2.98512e-01,0.486109
-2.98504e-01,0.484797
-2.98496e-01,0.484531
-2.98488e-01,0.486563
-2.98480e-01,0.485281
-2.98472e-01,0.486109
-2.98464e-01,0.485234
-2.98456e-01,0.485297
-2.98448e-01,0.486375
-2.98440e-01,0.485563
-2.98432e-01,0.485234
-2.98424e-01,0.484906
-2.98416e-01,0.485656
-2.98408e-01,0.486281
-2.98400e-01,0.484891
-2.98392e-01,0.484578
-2.98384e-01,0.4865
-2.98376e-01,0.484891
-2.98368e-01,0.483313
-2.98360e-01,0.486
-2.98352e-01,0.484969
-2.98344e-01,0.485656
-2.98336e-01,0.485734
-2.98328e-01,0.485344
-2.98320e-01,0.485609
-2.98312e-01,0.485297
-2.98304e-01,0.485781
-2.98296e-01,0.484828
-2.98288e-01,0.485797
-2.98280e-01,0.485547
-2.98272e-01,0.485594
-2.98264e-01,0.485078
-2.98256e-01,0.484797
-2.98248e-01,0.486047
-2.98240e-01,0.485297
-2.98232e-01,0.485719
-2.98224e-01,0.483641
-2.98216e-01,0.484531
-2.98208e-01,0.484031
-2.98200e-01,0.485609
-2.98192e-01,0.486
-2.98184e-01,0.484078
-2.98176e-01,0.484969
-2.98168e-01,0.484391
-2.98160e-01,0.485672
-2.98152e-01,0.484969
-2.98144e-01,0.484781
-2.98136e-01,0.484906
-2.98128e-01,0.484828
-2.98120e-01,0.485672
-2.98112e-01,0.484719
-2.98104e-01,0.4855
-2.98096e-01,0.484797
-2.98088e-01,0.484781
-2.98080e-01,0.484828
-2.98072e-01,0.486438
-2.98064e-01,0.484031
-2.98056e-01,0.486422
-2.98048e-01,0.484391
-2.98040e-01,0.486156
-2.98032e-01,0.485672
-2.98024e-01,0.485766
-2.98016e-01,0.484594
-2.98008e-01,0.483641
-2.98000e-01,0.485047
-2.97992e-01,0.486
-2.97984e-01,0.485563
-2.97976e-01,0.484578
-2.97968e-01,0.485984
-2.97960e-01,0.485734
-2.97952e-01,0.484406
-2.97944e-01,0.485344
-2.97936e-01,0.484797
-2.97928e-01,0.483328
