Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,8e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-5.00000e-01,0.0442656
-4.99992e-01,0.0431781
-4.99984e-01,0.043175
-4.99976e-01,0.0438969
-4.99968e-01,0.0430562
-4.99960e-01,0.0438969
-4.99952e-01,0.0433656
-4.99944e-01,0.0445656
-4.99936e-01,0.0438062
-4.99928e-01,0.0452719
-4.99920e-01,0.0441594
-4.99912e-01,0.0437344
-4.99904e-01,0.0438156
-4.99896e-01,0.0436031
-4.99888e-01,0.0446437
-4.99880e-01,0.0441562
-4.99872e-01,0.0431281
-4.99864e-01,0.0444219
-4.99856e-01,0.0429844
-4.99848e-01,0.0436531
-4.99840e-01,0.0436687
-4.99832e-01,0.044375
-4.99824e-01,0.0437562
-4.99816e-01,0.0438687
-4.99808e-01,0.0434969
-4.99800e-01,0.0446969
-4.99792e-01,0.0454875
-4.99784e-01,0.0424406
-4.99776e-01,0.0450062
-4.99768e-01,0.043275
-4.99760e-01,0.0441094
-4.99752e-01,0.043625
-4.99744e-01,0.043025
-4.99736e-01,0.0441781
-4.99728e-01,0.0448844
-4.99720e-01,0.0436531
-4.99712e-01,0.0432812
-4.99704e-01,0.0450031
-4.99696e-01,0.0438344
-4.99688e-01,0.0437719
-4.99680e-01,0.0429625
-4.99672e-01,0.043475
-4.99664e-01,0.0451094
-4.99656e-01,0.0456937
-4.99648e-01,0.0440969
-4.99640e-01,0.0431937
-4.99632e-01,0.0439281
-4.99624e-01,0.0434125
-4.99616e-01,0.0434969
-4.99608e-01,0.043175
-4.99600e-01,0.0437594
-4.99592e-01,0.0442031
-4.99584e-01,0.0440219
-4.99576e-01,0.0431719
-4.99568e-01,0.0440969
-4.99560e-01,0.04365
-4.99552e-01,0.0440719
-4.99544e-01,0.0431844
-4.99536e-01,0.0441594
-4.99528e-01,0.0435969
-4.99520e-01,0.0438906
-4.99512e-01,0.0438875
-4.99504e-01,0.0446187
-4.99496e-01,0.0442875
-4.99488e-01,0.0425531
-4.99480e-01,0.0442687
-4.99472e-01,0.0441094
-4.99464e-01,0.0424219
-4.99456e-01,0.0443844
-4.99448e-01,0.0430625
-4.99440e-01,0.0434406
-4.99432e-01,0.0437594
-4.99424e-01,0.0437406
-4.99416e-01,0.0422281
-4.99408e-01,0.0427312
-4.99400e-01,0.0443437
-4.99392e-01,0.0438312
-4.99384e-01,0.0437594
-4.99376e-01,0.0444969
-4.99368e-01,0.043675
-4.99360e-01,0.0439906
-4.99352e-01,0.0435156
-4.99344e-01,0.0440812
-4.99336e-01,0.0427687
-4.99328e-01,0.0431219
-4.99320e-01,0.0436219
-4.99312e-01,0.0443094
-4.99304e-01,0.044
-4.99296e-01,0.043875
-4.99288e-01,0.0425562
-4.99280e-01,0.0434844
-4.99272e-01,0.0432531
-4.99264e-01,0.0438219
-4.99256e-01,0.0432031
-4.99248e-01,0.0438531
-4.99240e-01,0.0444656
-4.99232e-01,0.0438562
-4.99224e-01,0.0440937
-4.99216e-01,0.0444031
-4.99208e-01,0.0450062
-4.99200e-01,0.0444781
-4.99192e-01,0.0442937
-4.99184e-01,0.0425875
-4.99176e-01,0.0439937
-4.99168e-01,0.0432219
-4.99160e-01,0.0416312
-4.99152e-01,0.0429844
-4.99144e-01,0.0447312
-4.99136e-01,0.0430281
-4.99128e-01,0.0431219
-4.99120e-01,0.0437844
-4.99112e-01,0.0434844
-4.99104e-01,0.0433375
-4.99096e-01,0.0441656
-4.99088e-01,0.0432812
-4.99080e-01,0.0444719
-4.99072e-01,0.0443031
-4.99064e-01,0.0439687
-4.99056e-01,0.0431844
-4.99048e-01,0.0435719
-4.99040e-01,0.0440625
-4.99032e-01,0.0446844
-4.99024e-01,0.0434875
-4.99016e-01,0.043825
-4.99008e-01,0.0433344
-4.99000e-01,0.0436969
-4.98992e-01,0.0440156
-4.98984e-01,0.0430906
-4.98976e-01,0.0437844
-4.98968e-01,0.0434281
-4.98960e-01,0.0447062
-4.98952e-01,0.0431937
-4.98944e-01,0.0434156
-4.98936e-01,0.0446
-4.98928e-01,0.0424969
-4.98920e-01,0.0434062
-4.98912e-01,0.0447
-4.98904e-01,0.0433969
-4.98896e-01,0.0445687
-4.98888e-01,0.0436562
-4.98880e-01,0.0437219
-4.98872e-01,0.0441906
-4.98864e-01,0.0434281
-4.98856e-01,0.0434656
-4.98848e-01,0.0436437
-4.98840e-01,0.044675
-4.98832e-01,0.0432937
-4.98824e-01,0.0435906
-4.98816e-01,0.0435187
-4.98808e-01,0.0438125
-4.98800e-01,0.0439125
-4.98792e-01,0.0439969
-4.98784e-01,0.0433687
-4.98776e-01,0.0441187
-4.98768e-01,0.0439937
-4.98760e-01,0.0437719
-4.98752e-01,0.0435906
-4.98744e-01,0.0436156
-4.98736e-01,0.0438406
-4.98728e-01,0.0434844
-4.98720e-01,0.0433219
-4.98712e-01,0.0442844
-4.98704e-01,0.0441375
-4.98696e-01,0.044
-4.98688e-01,0.0441469
-4.98680e-01,0.0434937
-4.98672e-01,0.0425969
-4.98664e-01,0.0422406
-4.98656e-01,0.0426344
-4.98648e-01,0.0431687
-4.98640e-01,0.0432062
-4.98632e-01,0.0441312
-4.98624e-01,0.0433937
-4.98616e-01,0.0430844
-4.98608e-01,0.0432562
-4.98600e-01,0.0434312
-4.98592e-01,0.0451125
-4.98584e-01,0.0449281
-4.98576e-01,0.0447875
-4.98568e-01,0.0435719
-4.98560e-01,0.0435062
-4.98552e-01,0.0430562
-4.98544e-01,0.0439375
-4.98536e-01,0.04375
-4.98528e-01,0.0441312
-4.98520e-01,0.0428406
-4.98512e-01,0.0434
-4.98504e-01,0.0450812
-4.98496e-01,0.0435719
-4.98488e-01,0.0436531
-4.98480e-01,0.0434844
-4.98472e-01,0.044075
-4.98464e-01,0.0433406
-4.98456e-01,0.0453031
-4.98448e-01,0.0434031
-4.98440e-01,0.0429437
-4.98432e-01,0.0436844
-4.98424e-01,0.0429594
-4.98416e-01,0.0433
-4.98408e-01,0.0443969
-4.98400e-01,0.0437844
-4.98392e-01,0.042625
-4.98384e-01,0.0446219
-4.98376e-01,0.0430156
-4.98368e-01,0.0433031
-4.98360e-01,0.0435625
-4.98352e-01,0.043825
-4.98344e-01,0.0440375
-4.98336e-01,0.0435687
-4.98328e-01,0.0432937
-4.98320e-01,0.0436
-4.98312e-01,0.0437875
-4.98304e-01,0.043925
-4.98296e-01,0.0430719
-4.98288e-01,0.0443094
-4.98280e-01,0.0433656
-4.98272e-01,0.0443062
-4.98264e-01,0.0441969
-4.98256e-01,0.0443031
-4.98248e-01,0.0429656
-4.98240e-01,0.0442406
-4.98232e-01,0.0440875
-4.98224e-01,0.0436437
-4.98216e-01,0.0447937
-4.98208e-01,0.0435781
-4.98200e-01,0.0445281
-4.98192e-01,0.0442344
-4.98184e-01,0.0433062
-4.98176e-01,0.0447594
-4.98168e-01,0.0440219
-4.98160e-01,0.0434937
-4.98152e-01,0.0415312
-4.98144e-01,0.0437875
-4.98136e-01,0.0421687
-4.98128e-01,0.0430719
-4.98120e-01,0.04345
-4.98112e-01,0.04365
-4.98104e-01,0.0441125
-4.98096e-01,0.0446344
-4.98088e-01,0.0421469
-4.98080e-01,0.0440531
-4.98072e-01,0.0440187
-4.98064e-01,0.0435656
-4.98056e-01,0.0440594
