Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,1.6e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-1.0000e-01,0.0445234
-9.9998e-02,0.0454062
-9.9997e-02,0.0441406
-9.9995e-02,0.0449219
-9.9994e-02,0.0450234
-9.9992e-02,0.0434141
-9.9990e-02,0.0444219
-9.9989e-02,0.0446328
-9.9987e-02,0.0439766
-9.9986e-02,0.0452422
-9.9984e-02,0.0452578
-9.9982e-02,0.0448906
-9.9981e-02,0.0451094
-9.9979e-02,0.045625
-9.9978e-02,0.0457578
-9.9976e-02,0.0443906
-9.9974e-02,0.0452109
-9.9973e-02,0.0443203
-9.9971e-02,0.0441719
-9.9970e-02,0.0444844
-9.9968e-02,0.0446719
-9.9966e-02,0.04475
-9.9965e-02,0.0452109
-9.9963e-02,0.0455234
-9.9962e-02,0.0452734
-9.9960e-02,0.044
-9.9958e-02,0.0455078
-9.9957e-02,0.0458203
-9.9955e-02,0.0446016
-9.9954e-02,0.0450469
-9.9952e-02,0.0440391
-9.9950e-02,0.0456562
-9.9949e-02,0.0460078
-9.9947e-02,0.0446797
-9.9946e-02,0.0449062
-9.9944e-02,0.0440391
-9.9942e-02,0.0454766
-9.9941e-02,0.0456562
-9.9939e-02,0.0438437
-9.9938e-02,0.0447734
-9.9936e-02,0.0435391
-9.9934e-02,0.0443906
-9.9933e-02,0.0446016
-9.9931e-02,0.045125
-9.9930e-02,0.0442031
-9.9928e-02,0.0444766
-9.9926e-02,0.0435469
-9.9925e-02,0.0453516
-9.9923e-02,0.0441172
-9.9922e-02,0.044375
-9.9920e-02,0.0444219
-9.9918e-02,0.0441719
-9.9917e-02,0.0453281
-9.9915e-02,0.0441719
-9.9914e-02,0.0442578
-9.9912e-02,0.0455703
-9.9910e-02,0.0446719
-9.9909e-02,0.0444219
-9.9907e-02,0.0448281
-9.9906e-02,0.0446562
-9.9904e-02,0.0439141
-9.9902e-02,0.0445625
-9.9901e-02,0.0443125
-9.9899e-02,0.0440703
-9.9898e-02,0.0450547
-9.9896e-02,0.0459531
-9.9894e-02,0.0452031
-9.9893e-02,0.0454609
-9.9891e-02,0.0446797
-9.9890e-02,0.0434922
-9.9888e-02,0.0438203
-9.9886e-02,0.045375
-9.9885e-02,0.0445859
-9.9883e-02,0.0449609
-9.9882e-02,0.04525
-9.9880e-02,0.0443359
-9.9878e-02,0.0433516
-9.9877e-02,0.0437031
-9.9875e-02,0.0437344
-9.9874e-02,0.0452422
-9.9872e-02,0.0443125
-9.9870e-02,0.0452422
-9.9869e-02,0.0449766
-9.9867e-02,0.0442578
-9.9866e-02,0.0439453
-9.9864e-02,0.0447734
-9.9862e-02,0.0440391
-9.9861e-02,0.0443672
-9.9859e-02,0.0442891
-9.9858e-02,0.0459766
-9.9856e-02,0.0465703
-9.9854e-02,0.0459844
-9.9853e-02,0.0446406
-9.9851e-02,0.0437891
-9.9850e-02,0.0435391
-9.9848e-02,0.0437344
-9.9846e-02,0.0444219
-9.9845e-02,0.0437891
-9.9843e-02,0.0445859
-9.9842e-02,0.0448359
-9.9840e-02,0.0444531
-9.9838e-02,0.0441172
-9.9837e-02,0.0452422
-9.9835e-02,0.04475
-9.9834e-02,0.0453516
-9.9832e-02,0.0446406
-9.9830e-02,0.0446719
-9.9829e-02,0.0430156
-9.9827e-02,0.0450312
-9.9826e-02,0.0448359
-9.9824e-02,0.0442266
-9.9822e-02,0.0448906
-9.9821e-02,0.0449922
-9.9819e-02,0.0448594
-9.9818e-02,0.0438437
-9.9816e-02,0.0437266
-9.9814e-02,0.0443594
-9.9813e-02,0.0432656
-9.9811e-02,0.0448594
-9.9810e-02,0.0449375
-9.9808e-02,0.0441641
-9.9806e-02,0.0442891
-9.9805e-02,0.0447969
-9.9803e-02,0.0433437
-9.9802e-02,0.0436016
-9.9800e-02,0.0438203
-9.9798e-02,0.0453516
-9.9797e-02,0.0445469
-9.9795e-02,0.0452344
-9.9794e-02,0.0442578
-9.9792e-02,0.0445156
-9.9790e-02,0.0441719
-9.9789e-02,0.044125
-9.9787e-02,0.0449922
-9.9786e-02,0.0436328
-9.9784e-02,0.0436172
-9.9782e-02,0.043625
-9.9781e-02,0.0442891
-9.9779e-02,0.0424219
-9.9778e-02,0.0434922
-9.9776e-02,0.0450781
-9.9774e-02,0.0450156
-9.9773e-02,0.0430859
-9.9771e-02,0.0441328
-9.9770e-02,0.0445234
-9.9768e-02,0.0453516
-9.9766e-02,0.0441953
-9.9765e-02,0.0455625
-9.9763e-02,0.0448594
-9.9762e-02,0.0446406
-9.9760e-02,0.0445547
-9.9758e-02,0.0441953
-9.9757e-02,0.0432109
-9.9755e-02,0.0444141
-9.9754e-02,0.0431875
-9.9752e-02,0.0454609
-9.9750e-02,0.0439219
-9.9749e-02,0.0457109
-9.9747e-02,0.043875
-9.9746e-02,0.0451875
-9.9744e-02,0.0438437
-9.9742e-02,0.0446875
-9.9741e-02,0.0456484
-9.9739e-02,0.0451875
-9.9738e-02,0.0456953
-9.9736e-02,0.0440078
-9.9734e-02,0.0445
-9.9733e-02,0.0439062
-9.9731e-02,0.0445078
-9.9730e-02,0.0438125
-9.9728e-02,0.0455703
-9.9726e-02,0.0450547
-9.9725e-02,0.0446406
-9.9723e-02,0.0444922
-9.9722e-02,0.0447656
-9.9720e-02,0.045125
-9.9718e-02,0.0443906
-9.9717e-02,0.0437578
-9.9715e-02,0.0437422
-9.9714e-02,0.044125
-9.9712e-02,0.0442266
-9.9710e-02,0.0455391
-9.9709e-02,0.0437344
-9.9707e-02,0.0443437
-9.9706e-02,0.0437891
-9.9704e-02,0.0455703
-9.9702e-02,0.0447031
-9.9701e-02,0.0443906
-9.9699e-02,0.0441406
-9.9698e-02,0.0452734
-9.9696e-02,0.0430781
-9.9694e-02,0.0427187
-9.9693e-02,0.0442031
-9.9691e-02,0.0439766
-9.9690e-02,0.0434062
-9.9688e-02,0.0444219
-9.9686e-02,0.0447734
-9.9685e-02,0.0437422
-9.9683e-02,0.0457891
-9.9682e-02,0.0449922
-9.9680e-02,0.0440937
-9.9678e-02,0.0446719
-9.9677e-02,0.0453203
-9.9675e-02,0.0445469
-9.9674e-02,0.043125
-9.9672e-02,0.043375
-9.9670e-02,0.0443047
-9.9669e-02,0.0450234
-9.9667e-02,0.0439531
-9.9666e-02,0.043375
-9.9664e-02,0.0432891
-9.9662e-02,0.0441719
-9.9661e-02,0.0436562
-9.9659e-02,0.0436016
-9.9658e-02,0.0449922
-9.9656e-02,0.0453281
-9.9654e-02,0.0439062
-9.9653e-02,0.0444219
-9.9651e-02,0.043625
-9.9650e-02,0.0426719
-9.9648e-02,0.0447422
-9.9646e-02,0.0445156
-9.9645e-02,0.0442266
-9.9643e-02,0.0450156
-9.9642e-02,0.0444922
-9.9640e-02,0.0438437
-9.9638e-02,0.0430547
-9.9637e-02,0.0448047
-9.9635e-02,0.0443359
-9.9634e-02,0.0446875
-9.9632e-02,0.0446406
-9.9630e-02,0.0439844
-9.9629e-02,0.045375
-9.9627e-02,0.0430547
-9.9626e-02,0.0441719
-9.9624e-02,0.0441719
-9.9622e-02,0.0444453
-9.9621e-02,0.043625
-9.9619e-02,0.0435937
-9.9618e-02,0.0452031
-9.9616e-02,0.0451953
-9.9614e-02,0.0442422
-9.9613e-02,0.0441016
