Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,8e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-5.00000e-01,0.0308844
-4.99992e-01,0.0316875
-4.99984e-01,0.0298625
-4.99976e-01,0.0318625
-4.99968e-01,0.029825
-4.99960e-01,0.0321594
-4.99952e-01,0.0313594
-4.99944e-01,0.0299156
-4.99936e-01,0.0314781
-4.99928e-01,0.0306781
-4.99920e-01,0.0316344
-4.99912e-01,0.0302719
-4.99904e-01,0.0304375
-4.99896e-01,0.0300406
-4.99888e-01,0.0302938
-4.99880e-01,0.0313469
-4.99872e-01,0.0308688
-4.99864e-01,0.0316438
-4.99856e-01,0.0315594
-4.99848e-01,0.0306719
-4.99840e-01,0.0318938
-4.99832e-01,0.0312813
-4.99824e-01,0.0323813
-4.99816e-01,0.0311781
-4.99808e-01,0.0308125
-4.99800e-01,0.029475
-4.99792e-01,0.0311094
-4.99784e-01,0.0299563
-4.99776e-01,0.03105
-4.99768e-01,0.0310438
-4.99760e-01,0.02975
-4.99752e-01,0.0312719
-4.99744e-01,0.031225
-4.99736e-01,0.0316719
-4.99728e-01,0.0309031
-4.99720e-01,0.030775
-4.99712e-01,0.0315094
-4.99704e-01,0.0309281
-4.99696e-01,0.0316344
-4.99688e-01,0.0319156
-4.99680e-01,0.0323969
-4.99672e-01,0.0325563
-4.99664e-01,0.0309688
-4.99656e-01,0.0296906
-4.99648e-01,0.0313063
-4.99640e-01,0.0323469
-4.99632e-01,0.0309531
-4.99624e-01,0.0309063
-4.99616e-01,0.0309344
-4.99608e-01,0.0324125
-4.99600e-01,0.0311281
-4.99592e-01,0.0314156
-4.99584e-01,0.0321063
-4.99576e-01,0.0318438
-4.99568e-01,0.0314313
-4.99560e-01,0.0304031
-4.99552e-01,0.0300688
-4.99544e-01,0.0305625
-4.99536e-01,0.0307344
-4.99528e-01,0.03055
-4.99520e-01,0.0298969
-4.99512e-01,0.0310563
-4.99504e-01,0.0312125
-4.99496e-01,0.0320688
-4.99488e-01,0.0298031
-4.99480e-01,0.0313875
-4.99472e-01,0.0310188
-4.99464e-01,0.030725
-4.99456e-01,0.0300344
-4.99448e-01,0.0310156
-4.99440e-01,0.0326625
-4.99432e-01,0.0297688
-4.99424e-01,0.0303844
-4.99416e-01,0.0314719
-4.99408e-01,0.0302063
-4.99400e-01,0.0309313
-4.99392e-01,0.0309
-4.99384e-01,0.0308969
-4.99376e-01,0.0304344
-4.99368e-01,0.0314656
-4.99360e-01,0.03185
-4.99352e-01,0.0314031
-4.99344e-01,0.0314906
-4.99336e-01,0.0312625
-4.99328e-01,0.0310688
-4.99320e-01,0.0305594
-4.99312e-01,0.0300094
-4.99304e-01,0.0304469
-4.99296e-01,0.0310844
-4.99288e-01,0.030475
-4.99280e-01,0.0307625
-4.99272e-01,0.0297156
-4.99264e-01,0.0309531
-4.99256e-01,0.0316656
-4.99248e-01,0.0299125
-4.99240e-01,0.0309094
-4.99232e-01,0.0309688
-4.99224e-01,0.030725
-4.99216e-01,0.0311125
-4.99208e-01,0.0317344
-4.99200e-01,0.0309906
-4.99192e-01,0.0307281
-4.99184e-01,0.0307219
-4.99176e-01,0.0308906
-4.99168e-01,0.0304094
-4.99160e-01,0.0309969
-4.99152e-01,0.031275
-4.99144e-01,0.0302969
-4.99136e-01,0.0326281
-4.99128e-01,0.0322688
-4.99120e-01,0.0310406
-4.99112e-01,0.030375
-4.99104e-01,0.0316125
-4.99096e-01,0.0314969
-4.99088e-01,0.0304031
-4.99080e-01,0.030425
-4.99072e-01,0.02995
-4.99064e-01,0.0302688
-4.99056e-01,0.0315906
-4.99048e-01,0.0303219
-4.99040e-01,0.0311594
-4.99032e-01,0.0305844
-4.99024e-01,0.0314938
-4.99016e-01,0.0303
-4.99008e-01,0.030625
-4.99000e-01,0.0318375
-4.98992e-01,0.0315906
-4.98984e-01,0.0322063
-4.98976e-01,0.0306625
-4.98968e-01,0.0306344
-4.98960e-01,0.0304531
-4.98952e-01,0.0310281
-4.98944e-01,0.0309156
-4.98936e-01,0.0317313
-4.98928e-01,0.0325844
-4.98920e-01,0.0309906
-4.98912e-01,0.0323688
-4.98904e-01,0.0297188
-4.98896e-01,0.0307969
-4.98888e-01,0.0304313
-4.98880e-01,0.030175
-4.98872e-01,0.0304875
-4.98864e-01,0.0305625
-4.98856e-01,0.0318719
-4.98848e-01,0.0318781
-4.98840e-01,0.030975
-4.98832e-01,0.0314406
-4.98824e-01,0.0309219
-4.98816e-01,0.030575
-4.98808e-01,0.03175
-4.98800e-01,0.0314531
-4.98792e-01,0.0302938
-4.98784e-01,0.0309094
-4.98776e-01,0.0319281
-4.98768e-01,0.0322625
-4.98760e-01,0.02965
-4.98752e-01,0.0311031
-4.98744e-01,0.0312281
-4.98736e-01,0.0313219
-4.98728e-01,0.0318719
-4.98720e-01,0.031525
-4.98712e-01,0.0320156
-4.98704e-01,0.0305656
-4.98696e-01,0.0317719
-4.98688e-01,0.0304063
-4.98680e-01,0.0311688
-4.98672e-01,0.0315813
-4.98664e-01,0.0308063
-4.98656e-01,0.0310594
-4.98648e-01,0.0320406
-4.98640e-01,0.0323031
-4.98632e-01,0.0315156
-4.98624e-01,0.0308406
-4.98616e-01,0.0304125
-4.98608e-01,0.0312781
-4.98600e-01,0.0312625
-4.98592e-01,0.0296844
-4.98584e-01,0.0314219
-4.98576e-01,0.0319656
-4.98568e-01,0.031175
-4.98560e-01,0.0321781
-4.98552e-01,0.0297281
-4.98544e-01,0.0320813
-4.98536e-01,0.0308406
-4.98528e-01,0.0308906
-4.98520e-01,0.0311563
-4.98512e-01,0.0315781
-4.98504e-01,0.03125
-4.98496e-01,0.031
-4.98488e-01,0.0314781
-4.98480e-01,0.0324188
-4.98472e-01,0.0316531
-4.98464e-01,0.0316188
-4.98456e-01,0.0301281
-4.98448e-01,0.0317781
-4.98440e-01,0.0298406
-4.98432e-01,0.0311813
-4.98424e-01,0.0310906
-4.98416e-01,0.0318781
-4.98408e-01,0.0324969
-4.98400e-01,0.0305313
-4.98392e-01,0.0309438
-4.98384e-01,0.0319531
-4.98376e-01,0.0321531
-4.98368e-01,0.0322063
-4.98360e-01,0.0318219
-4.98352e-01,0.0309625
-4.98344e-01,0.0309094
-4.98336e-01,0.0305063
-4.98328e-01,0.0312594
-4.98320e-01,0.0313125
-4.98312e-01,0.0304031
-4.98304e-01,0.0314938
-4.98296e-01,0.0318281
-4.98288e-01,0.0317406
-4.98280e-01,0.0314344
-4.98272e-01,0.0315406
-4.98264e-01,0.03095
-4.98256e-01,0.0305281
-4.98248e-01,0.0304813
-4.98240e-01,0.0305656
-4.98232e-01,0.0317219
-4.98224e-01,0.0320594
-4.98216e-01,0.0313938
-4.98208e-01,0.0310094
-4.98200e-01,0.0290313
-4.98192e-01,0.0326406
-4.98184e-01,0.03055
-4.98176e-01,0.030225
-4.98168e-01,0.0318531
-4.98160e-01,0.0299063
-4.98152e-01,0.0311188
-4.98144e-01,0.0308406
-4.98136e-01,0.0299938
-4.98128e-01,0.0319438
-4.98120e-01,0.0291313
-4.98112e-01,0.0308938
-4.98104e-01,0.0315031
-4.98096e-01,0.0293625
-4.98088e-01,0.03085
-4.98080e-01,0.0309219
-4.98072e-01,0.03165
-4.98064e-01,0.0307844
-4.98056e-01,0.0304188
