Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,1.6e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH3
-6.00000e-02,0.477812
-5.99984e-02,0.4795
-5.99968e-02,0.478594
-5.99952e-02,0.478875
-5.99936e-02,0.478
-5.99920e-02,0.477937
-5.99904e-02,0.478156
-5.99888e-02,0.478156
-5.99872e-02,0.479375
-5.99856e-02,0.478062
-5.99840e-02,0.476844
-5.99824e-02,0.478906
-5.99808e-02,0.478781
-5.99792e-02,0.478812
-5.99776e-02,0.479812
-5.99760e-02,0.478187
-5.99744e-02,0.477437
-5.99728e-02,0.478437
-5.99712e-02,0.477812
-5.99696e-02,0.478812
-5.99680e-02,0.478281
-5.99664e-02,0.477719
-5.99648e-02,0.478656
-5.99632e-02,0.479125
-5.99616e-02,0.476156
-5.99600e-02,0.477437
-5.99584e-02,0.477094
-5.99568e-02,0.477437
-5.99552e-02,0.478375
-5.99536e-02,0.478344
-5.99520e-02,0.477719
-5.99504e-02,0.477094
-5.99488e-02,0.478375
-5.99472e-02,0.477312
-5.99456e-02,0.477125
-5.99440e-02,0.478062
-5.99424e-02,0.476812
-5.99408e-02,0.47975
-5.99392e-02,0.478
-5.99376e-02,0.478406
-5.99360e-02,0.477625
-5.99344e-02,0.478344
-5.99328e-02,0.478437
-5.99312e-02,0.478156
-5.99296e-02,0.478906
-5.99280e-02,0.477562
-5.99264e-02,0.475844
-5.99248e-02,0.478156
-5.99232e-02,0.478281
-5.99216e-02,0.477281
-5.99200e-02,0.476156
-5.99184e-02,0.476844
-5.99168e-02,0.478156
-5.99152e-02,0.477406
-5.99136e-02,0.476906
-5.99120e-02,0.4775
-5.99104e-02,0.477219
-5.99088e-02,0.479406
-5.99072e-02,0.478469
-5.99056e-02,0.477
-5.99040e-02,0.477844
-5.99024e-02,0.476437
-5.99008e-02,0.476281
-5.98992e-02,0.477406
-5.98976e-02,0.476344
-5.98960e-02,0.477687
-5.98944e-02,0.477094
-5.98928e-02,0.478406
-5.98912e-02,0.479187
-5.98896e-02,0.476625
-5.98880e-02,0.478281
-5.98864e-02,0.476937
-5.98848e-02,0.477281
-5.98832e-02,0.476781
-5.98816e-02,0.476031
-5.98800e-02,0.477094
-5.98784e-02,0.47775
-5.98768e-02,0.477281
-5.98752e-02,0.478594
-5.98736e-02,0.477344
-5.98720e-02,0.476719
-5.98704e-02,0.47775
-5.98688e-02,0.477062
-5.98672e-02,0.477625
-5.98656e-02,0.474531
-5.98640e-02,0.473562
-5.98624e-02,0.475969
-5.98608e-02,0.475656
-5.98592e-02,0.475375
-5.98576e-02,0.476625
-5.98560e-02,0.478094
-5.98544e-02,0.476625
-5.98528e-02,0.477562
-5.98512e-02,0.476312
-5.98496e-02,0.478781
-5.98480e-02,0.476469
-5.98464e-02,0.477281
-5.98448e-02,0.475687
-5.98432e-02,0.477031
-5.98416e-02,0.477031
-5.98400e-02,0.476656
-5.98384e-02,0.477625
-5.98368e-02,0.478594
-5.98352e-02,0.476625
-5.98336e-02,0.476469
-5.98320e-02,0.479062
-5.98304e-02,0.47675
-5.98288e-02,0.477031
-5.98272e-02,0.4765
-5.98256e-02,0.477812
-5.98240e-02,0.478531
-5.98224e-02,0.476719
-5.98208e-02,0.476812
-5.98192e-02,0.47725
-5.98176e-02,0.477594
-5.98160e-02,0.47725
-5.98144e-02,0.4765
-5.98128e-02,0.476719
-5.98112e-02,0.476937
-5.98096e-02,0.477094
-5.98080e-02,0.476719
-5.98064e-02,0.476594
-5.98048e-02,0.476812
-5.98032e-02,0.476125
-5.98016e-02,0.47575
-5.98000e-02,0.475
-5.97984e-02,0.475687
-5.97968e-02,0.476
-5.97952e-02,0.475781
-5.97936e-02,0.476344
-5.97920e-02,0.475844
-5.97904e-02,0.47625
-5.97888e-02,0.476437
-5.97872e-02,0.475312
-5.97856e-02,0.477719
-5.97840e-02,0.474875
-5.97824e-02,0.476687
-5.97808e-02,0.476906
-5.97792e-02,0.474437
-5.97776e-02,0.475969
-5.97760e-02,0.475406
-5.97744e-02,0.47625
-5.97728e-02,0.4765
-5.97712e-02,0.476719
-5.97696e-02,0.47625
-5.97680e-02,0.476281
-5.97664e-02,0.475094
-5.97648e-02,0.476844
-5.97632e-02,0.474562
-5.97616e-02,0.475906
-5.97600e-02,0.476
-5.97584e-02,0.476344
-5.97568e-02,0.475781
-5.97552e-02,0.476562
-5.97536e-02,0.478375
-5.97520e-02,0.474969
-5.97504e-02,0.477594
-5.97488e-02,0.476656
-5.97472e-02,0.476469
-5.97456e-02,0.473062
-5.97440e-02,0.478156
-5.97424e-02,0.474625
-5.97408e-02,0.474281
-5.97392e-02,0.475781
-5.97376e-02,0.475406
-5.97360e-02,0.476062
-5.97344e-02,0.476281
-5.97328e-02,0.474969
-5.97312e-02,0.475906
-5.97296e-02,0.475719
-5.97280e-02,0.475906
-5.97264e-02,0.474125
-5.97248e-02,0.474406
-5.97232e-02,0.476281
-5.97216e-02,0.475719
-5.97200e-02,0.47625
-5.97184e-02,0.476344
-5.97168e-02,0.476312
-5.97152e-02,0.475531
-5.97136e-02,0.476156
-5.97120e-02,0.475281
-5.97104e-02,0.47575
-5.97088e-02,0.475562
-5.97072e-02,0.474437
-5.97056e-02,0.47525
-5.97040e-02,0.474875
-5.97024e-02,0.4745
-5.97008e-02,0.475531
-5.96992e-02,0.476031
-5.96976e-02,0.475562
-5.96960e-02,0.475656
-5.96944e-02,0.473969
-5.96928e-02,0.473344
-5.96912e-02,0.475812
-5.96896e-02,0.476375
-5.96880e-02,0.475094
-5.96864e-02,0.472719
-5.96848e-02,0.476156
-5.96832e-02,0.474531
-5.96816e-02,0.474844
-5.96800e-02,0.473187
-5.96784e-02,0.47375
-5.96768e-02,0.474969
-5.96752e-02,0.47725
-5.96736e-02,0.475437
-5.96720e-02,0.473875
-5.96704e-02,0.4745
-5.96688e-02,0.476906
-5.96672e-02,0.474437
-5.96656e-02,0.473937
-5.96640e-02,0.474062
-5.96624e-02,0.474312
-5.96608e-02,0.474437
-5.96592e-02,0.474969
-5.96576e-02,0.475906
-5.96560e-02,0.475625
-5.96544e-02,0.474656
-5.96528e-02,0.475687
-5.96512e-02,0.475906
-5.96496e-02,0.474781
-5.96480e-02,0.474312
-5.96464e-02,0.475031
-5.96448e-02,0.47575
-5.96432e-02,0.475969
-5.96416e-02,0.476094
-5.96400e-02,0.474656
-5.96384e-02,0.474219
-5.96368e-02,0.475031
-5.96352e-02,0.47575
-5.96336e-02,0.474344
-5.96320e-02,0.473219
-5.96304e-02,0.474875
-5.96288e-02,0.474656
-5.96272e-02,0.473375
-5.96256e-02,0.473906
-5.96240e-02,0.474906
-5.96224e-02,0.473344
-5.96208e-02,0.474656
-5.96192e-02,0.474187
-5.96176e-02,0.474062
-5.96160e-02,0.473094
-5.96144e-02,0.473031
-5.96128e-02,0.475625
-5.96112e-02,0.474906
-5.96096e-02,0.475625
-5.96080e-02,0.475469
-5.96064e-02,0.474969
-5.96048e-02,0.475031
-5.96032e-02,0.474219
-5.96016e-02,0.472531
-5.96000e-02,0.473312
-5.95984e-02,0.474656
-5.95968e-02,0.476406
-5.95952e-02,0.474
-5.95936e-02,0.474656
-5.95920e-02,0.475781
-5.95904e-02,0.473937
-5.95888e-02,0.474062
-5.95872e-02,0.474687
-5.95856e-02,0.474156
