Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,8e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-5.00000e-01,0.0935625
-4.99992e-01,0.0927969
-4.99984e-01,0.0917812
-4.99976e-01,0.0919531
-4.99968e-01,0.0938125
-4.99960e-01,0.0923516
-4.99952e-01,0.0927109
-4.99944e-01,0.0926797
-4.99936e-01,0.0931797
-4.99928e-01,0.0924922
-4.99920e-01,0.0935625
-4.99912e-01,0.0927422
-4.99904e-01,0.0921016
-4.99896e-01,0.093125
-4.99888e-01,0.0927422
-4.99880e-01,0.0935078
-4.99872e-01,0.0927031
-4.99864e-01,0.0929297
-4.99856e-01,0.0924609
-4.99848e-01,0.0930469
-4.99840e-01,0.0930625
-4.99832e-01,0.0932891
-4.99824e-01,0.0918906
-4.99816e-01,0.0916484
-4.99808e-01,0.0924297
-4.99800e-01,0.0933359
-4.99792e-01,0.0927031
-4.99784e-01,0.0940156
-4.99776e-01,0.0926484
-4.99768e-01,0.0929844
-4.99760e-01,0.0948672
-4.99752e-01,0.0922734
-4.99744e-01,0.0934766
-4.99736e-01,0.0937578
-4.99728e-01,0.0917187
-4.99720e-01,0.0931172
-4.99712e-01,0.0936797
-4.99704e-01,0.09375
-4.99696e-01,0.0931484
-4.99688e-01,0.0932812
-4.99680e-01,0.0935234
-4.99672e-01,0.0937266
-4.99664e-01,0.0925469
-4.99656e-01,0.0939766
-4.99648e-01,0.0923281
-4.99640e-01,0.0929922
-4.99632e-01,0.0916641
-4.99624e-01,0.0920234
-4.99616e-01,0.0938594
-4.99608e-01,0.0937734
-4.99600e-01,0.0923984
-4.99592e-01,0.0923047
-4.99584e-01,0.0936406
-4.99576e-01,0.0920234
-4.99568e-01,0.0924687
-4.99560e-01,0.0907969
-4.99552e-01,0.0930937
-4.99544e-01,0.0925234
-4.99536e-01,0.0925547
-4.99528e-01,0.0934297
-4.99520e-01,0.0923047
-4.99512e-01,0.0918516
-4.99504e-01,0.0930312
-4.99496e-01,0.092125
-4.99488e-01,0.0925391
-4.99480e-01,0.0932891
-4.99472e-01,0.0922734
-4.99464e-01,0.0917422
-4.99456e-01,0.0941328
-4.99448e-01,0.0921406
-4.99440e-01,0.0930625
-4.99432e-01,0.0921641
-4.99424e-01,0.0935937
-4.99416e-01,0.0919141
-4.99408e-01,0.0934062
-4.99400e-01,0.0919141
-4.99392e-01,0.0924453
-4.99384e-01,0.0919141
-4.99376e-01,0.0928672
-4.99368e-01,0.0932812
-4.99360e-01,0.0915312
-4.99352e-01,0.0929297
-4.99344e-01,0.0925547
-4.99336e-01,0.0936953
-4.99328e-01,0.0916953
-4.99320e-01,0.0931484
-4.99312e-01,0.0922734
-4.99304e-01,0.0923281
-4.99296e-01,0.0922656
-4.99288e-01,0.0924062
-4.99280e-01,0.0931406
-4.99272e-01,0.0921641
-4.99264e-01,0.092
-4.99256e-01,0.0927969
-4.99248e-01,0.0934766
-4.99240e-01,0.0926875
-4.99232e-01,0.093125
-4.99224e-01,0.0933437
-4.99216e-01,0.0929297
-4.99208e-01,0.0919609
-4.99200e-01,0.0932266
-4.99192e-01,0.0941641
-4.99184e-01,0.0927656
-4.99176e-01,0.0921328
-4.99168e-01,0.0930156
-4.99160e-01,0.093125
-4.99152e-01,0.0914766
-4.99144e-01,0.0925703
-4.99136e-01,0.0925156
-4.99128e-01,0.0932578
-4.99120e-01,0.0929297
-4.99112e-01,0.0908437
-4.99104e-01,0.0926562
-4.99096e-01,0.0914453
-4.99088e-01,0.0915312
-4.99080e-01,0.0933125
-4.99072e-01,0.0932578
-4.99064e-01,0.0927656
-4.99056e-01,0.0923281
-4.99048e-01,0.0929297
-4.99040e-01,0.0923828
-4.99032e-01,0.0909609
-4.99024e-01,0.0932266
-4.99016e-01,0.0922734
-4.99008e-01,0.0919219
-4.99000e-01,0.0921406
-4.98992e-01,0.0921328
-4.98984e-01,0.0920469
-4.98976e-01,0.0933437
-4.98968e-01,0.0924062
-4.98960e-01,0.0915
-4.98952e-01,0.0941641
-4.98944e-01,0.0929375
-4.98936e-01,0.0930625
-4.98928e-01,0.092625
-4.98920e-01,0.0926484
-4.98912e-01,0.0935625
-4.98904e-01,0.0916641
-4.98896e-01,0.0908984
-4.98888e-01,0.0913125
-4.98880e-01,0.0928437
-4.98872e-01,0.0924922
-4.98864e-01,0.0923203
-4.98856e-01,0.0923281
-4.98848e-01,0.0933125
-4.98840e-01,0.0936484
-4.98832e-01,0.0912734
-4.98824e-01,0.0933672
-4.98816e-01,0.092875
-4.98808e-01,0.0926484
-4.98800e-01,0.0925937
-4.98792e-01,0.0935937
-4.98784e-01,0.0930625
-4.98776e-01,0.0928437
-4.98768e-01,0.0938281
-4.98760e-01,0.0931172
-4.98752e-01,0.0931953
-4.98744e-01,0.0929062
-4.98736e-01,0.0919141
-4.98728e-01,0.0930391
-4.98720e-01,0.0915234
-4.98712e-01,0.0930625
-4.98704e-01,0.0906719
-4.98696e-01,0.0942422
-4.98688e-01,0.0946562
-4.98680e-01,0.0933125
-4.98672e-01,0.0923594
-4.98664e-01,0.0926484
-4.98656e-01,0.0930156
-4.98648e-01,0.0929609
-4.98640e-01,0.0927891
-4.98632e-01,0.0916641
-4.98624e-01,0.0940469
-4.98616e-01,0.0924531
-4.98608e-01,0.0915937
-4.98600e-01,0.0922187
-4.98592e-01,0.0931172
-4.98584e-01,0.0925156
-4.98576e-01,0.0935625
-4.98568e-01,0.0924375
-4.98560e-01,0.0929297
-4.98552e-01,0.092875
-4.98544e-01,0.0916953
-4.98536e-01,0.0930937
-4.98528e-01,0.0922734
-4.98520e-01,0.0917266
-4.98512e-01,0.0925547
-4.98504e-01,0.0932656
-4.98496e-01,0.0926797
-4.98488e-01,0.0929297
-4.98480e-01,0.0935625
-4.98472e-01,0.0928984
-4.98464e-01,0.0923281
-4.98456e-01,0.0929531
-4.98448e-01,0.0919922
-4.98440e-01,0.0927422
-4.98432e-01,0.0916328
-4.98424e-01,0.0934453
-4.98416e-01,0.0922266
-4.98408e-01,0.0936484
-4.98400e-01,0.0923516
-4.98392e-01,0.0919453
-4.98384e-01,0.0916484
-4.98376e-01,0.0933984
-4.98368e-01,0.0929297
-4.98360e-01,0.0925469
-4.98352e-01,0.0935078
-4.98344e-01,0.0932266
-4.98336e-01,0.0921094
-4.98328e-01,0.0909609
-4.98320e-01,0.0920781
-4.98312e-01,0.093125
-4.98304e-01,0.0930703
-4.98296e-01,0.0932812
-4.98288e-01,0.0917578
-4.98280e-01,0.0928437
-4.98272e-01,0.0926797
-4.98264e-01,0.0923594
-4.98256e-01,0.0923281
-4.98248e-01,0.0941328
-4.98240e-01,0.0934766
-4.98232e-01,0.0922969
-4.98224e-01,0.0925234
-4.98216e-01,0.0934766
-4.98208e-01,0.0931172
-4.98200e-01,0.0928281
-4.98192e-01,0.0944297
-4.98184e-01,0.0913125
-4.98176e-01,0.0934766
-4.98168e-01,0.0916953
-4.98160e-01,0.09175
-4.98152e-01,0.0925469
-4.98144e-01,0.0927031
-4.98136e-01,0.0914687
-4.98128e-01,0.0917266
-4.98120e-01,0.0925469
-4.98112e-01,0.0924141
-4.98104e-01,0.0914297
-4.98096e-01,0.0928437
-4.98088e-01,0.0928281
-4.98080e-01,0.0914766
-4.98072e-01,0.0913125
-4.98064e-01,0.0914297
