Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,8e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-5.00000e-01,0.00417969
-4.99992e-01,0.00508594
-4.99984e-01,0.00308594
-4.99976e-01,0.00396094
-4.99968e-01,0.00309375
-4.99960e-01,0.00314844
-4.99952e-01,0.00399219
-4.99944e-01,0.00457812
-4.99936e-01,0.00621094
-4.99928e-01,0.00448437
-4.99920e-01,0.00489844
-4.99912e-01,0.00508594
-4.99904e-01,0.00377344
-4.99896e-01,0.00511719
-4.99888e-01,0.00421094
-4.99880e-01,0.00314844
-4.99872e-01,0.00552344
-4.99864e-01,0.00355469
-4.99856e-01,0.00402344
-4.99848e-01,0.00401562
-4.99840e-01,0.00489844
-4.99832e-01,0.00467969
-4.99824e-01,0.00374219
-4.99816e-01,0.00489062
-4.99808e-01,0.00467969
-4.99800e-01,0.00439844
-4.99792e-01,0.00486719
-4.99784e-01,0.00308594
-4.99776e-01,0.00536719
-4.99768e-01,0.00533594
-4.99760e-01,0.00336719
-4.99752e-01,0.00464062
-4.99744e-01,0.00396094
-4.99736e-01,0.00357812
-4.99728e-01,0.00355469
-4.99720e-01,0.00308594
-4.99712e-01,0.00352344
-4.99704e-01,0.00489844
-4.99696e-01,0.00271094
-4.99688e-01,0.00399219
-4.99680e-01,0.00286719
-4.99672e-01,0.00555469
-4.99664e-01,0.00511719
-4.99656e-01,0.0035625
-4.99648e-01,0.00396094
-4.99640e-01,0.00424219
-4.99632e-01,0.00404687
-4.99624e-01,0.00421094
-4.99616e-01,0.00396094
-4.99608e-01,0.00442969
-4.99600e-01,0.00311719
-4.99592e-01,0.00333594
-4.99584e-01,0.00423437
-4.99576e-01,0.00514062
-4.99568e-01,0.00533594
-4.99560e-01,0.00399219
-4.99552e-01,0.00353125
-4.99544e-01,0.00446094
-4.99536e-01,0.00439062
-4.99528e-01,0.00402344
-4.99520e-01,0.00446094
-4.99512e-01,0.00286719
-4.99504e-01,0.00489844
-4.99496e-01,0.00402344
-4.99488e-01,0.00377344
-4.99480e-01,0.00399219
-4.99472e-01,0.00424219
-4.99464e-01,0.00527344
-4.99456e-01,0.00555469
-4.99448e-01,0.00302344
-4.99440e-01,0.00333594
-4.99432e-01,0.00467187
-4.99424e-01,0.00573437
-4.99416e-01,0.00380469
-4.99408e-01,0.00421094
-4.99400e-01,0.00392969
-4.99392e-01,0.00354687
-4.99384e-01,0.00333594
-4.99376e-01,0.00530469
-4.99368e-01,0.00533594
-4.99360e-01,0.00533594
-4.99352e-01,0.00421094
-4.99344e-01,0.00421875
-4.99336e-01,0.00353125
-4.99328e-01,0.00352344
-4.99320e-01,0.00399219
-4.99312e-01,0.00396875
-4.99304e-01,0.0046875
-4.99296e-01,0.00355469
-4.99288e-01,0.00492969
-4.99280e-01,0.00336719
-4.99272e-01,0.00439844
-4.99264e-01,0.00405469
-4.99256e-01,0.00355469
-4.99248e-01,0.00533594
-4.99240e-01,0.00449219
-4.99232e-01,0.00558594
-4.99224e-01,0.00492969
-4.99216e-01,0.00371094
-4.99208e-01,0.00533594
-4.99200e-01,0.00330469
-4.99192e-01,0.00352344
-4.99184e-01,0.00511719
-4.99176e-01,0.00530469
-4.99168e-01,0.00439844
-4.99160e-01,0.00483594
-4.99152e-01,0.00446875
-4.99144e-01,0.00395312
-4.99136e-01,0.00417969
-4.99128e-01,0.00355469
-4.99120e-01,0.00311719
-4.99112e-01,0.00483594
-4.99104e-01,0.00403125
-4.99096e-01,0.00374219
-4.99088e-01,0.00417187
-4.99080e-01,0.00330469
-4.99072e-01,0.00349219
-4.99064e-01,0.00404687
-4.99056e-01,0.00446094
-4.99048e-01,0.00380469
-4.99040e-01,0.00486719
-4.99032e-01,0.00357812
-4.99024e-01,0.00354687
-4.99016e-01,0.00464844
-4.99008e-01,0.00421875
-4.99000e-01,0.00332812
-4.98992e-01,0.00471094
-4.98984e-01,0.00330469
-4.98976e-01,0.00426562
-4.98968e-01,0.00445312
-4.98960e-01,0.00489844
-4.98952e-01,0.00396094
-4.98944e-01,0.00357812
-4.98936e-01,0.0046875
-4.98928e-01,0.00351562
-4.98920e-01,0.00445312
-4.98912e-01,0.00446094
-4.98904e-01,0.00414844
-4.98896e-01,0.00446094
-4.98888e-01,0.00421094
-4.98880e-01,0.00464844
-4.98872e-01,0.00395312
-4.98864e-01,0.00352344
-4.98856e-01,0.00333594
-4.98848e-01,0.00401562
-4.98840e-01,0.00330469
-4.98832e-01,0.00508594
-4.98824e-01,0.00625
-4.98816e-01,0.00136719
-4.98808e-01,0.00486719
-4.98800e-01,0.00414844
-4.98792e-01,0.00311719
-4.98784e-01,0.00355469
-4.98776e-01,0.00617969
-4.98768e-01,0.00461719
-4.98760e-01,0.00424219
-4.98752e-01,0.00420312
-4.98744e-01,0.00399219
-4.98736e-01,0.00424219
-4.98728e-01,0.00355469
-4.98720e-01,0.00511719
-4.98712e-01,0.00467969
-4.98704e-01,0.00377344
-4.98696e-01,0.00551562
-4.98688e-01,0.00396875
-4.98680e-01,0.00457812
-4.98672e-01,0.00354687
-4.98664e-01,0.00392969
-4.98656e-01,0.00511719
-4.98648e-01,0.00333594
-4.98640e-01,0.00355469
-4.98632e-01,0.00467187
-4.98624e-01,0.00483594
-4.98616e-01,0.00336719
-4.98608e-01,0.00464844
-4.98600e-01,0.00373437
-4.98592e-01,0.00348437
-4.98584e-01,0.00396875
-4.98576e-01,0.00376562
-4.98568e-01,0.00417969
-4.98560e-01,0.00577344
-4.98552e-01,0.00374219
-4.98544e-01,0.00329687
-4.98536e-01,0.00580469
-4.98528e-01,0.00439062
-4.98520e-01,0.00421094
-4.98512e-01,0.00402344
-4.98504e-01,0.00442969
-4.98496e-01,0.0041875
-4.98488e-01,0.00424219
-4.98480e-01,0.00458594
-4.98472e-01,0.00508594
-4.98464e-01,0.00439844
-4.98456e-01,0.00329687
-4.98448e-01,0.00330469
-4.98440e-01,0.00514844
-4.98432e-01,0.00352344
-4.98424e-01,0.00442969
-4.98416e-01,0.00446094
-4.98408e-01,0.00548437
-4.98400e-01,0.00374219
-4.98392e-01,0.00402344
-4.98384e-01,0.00399219
-4.98376e-01,0.00558594
-4.98368e-01,0.00417969
-4.98360e-01,0.00448437
-4.98352e-01,0.00330469
-4.98344e-01,0.00380469
-4.98336e-01,0.00332812
-4.98328e-01,0.00439844
-4.98320e-01,0.00217969
-4.98312e-01,0.00508594
-4.98304e-01,0.00374219
-4.98296e-01,0.00529687
-4.98288e-01,0.00536719
-4.98280e-01,0.00439844
-4.98272e-01,0.00358594
-4.98264e-01,0.00486719
-4.98256e-01,0.00464844
-4.98248e-01,0.00486719
-4.98240e-01,0.00555469
-4.98232e-01,0.0044375
-4.98224e-01,0.00511719
-4.98216e-01,0.00357812
-4.98208e-01,0.00336719
-4.98200e-01,0.00446094
-4.98192e-01,0.00377344
-4.98184e-01,0.00427344
-4.98176e-01,0.00292969
-4.98168e-01,0.00354687
-4.98160e-01,0.00555469
-4.98152e-01,0.00439844
-4.98144e-01,0.00242969
-4.98136e-01,0.00424219
-4.98128e-01,0.0050625
-4.98120e-01,0.00508594
-4.98112e-01,0.00424219
-4.98104e-01,0.00492969
-4.98096e-01,0.00402344
-4.98088e-01,0.00492969
-4.98080e-01,0.00557812
-4.98072e-01,0.00349219
