Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,1.6e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH3
-6.00000e-02,1.03641
-5.99984e-02,1.0307
-5.99968e-02,1.03859
-5.99952e-02,1.03477
-5.99936e-02,1.02961
-5.99920e-02,1.0375
-5.99904e-02,1.03211
-5.99888e-02,1.03703
-5.99872e-02,1.03484
-5.99856e-02,1.03859
-5.99840e-02,1.03445
-5.99824e-02,1.03562
-5.99808e-02,1.03391
-5.99792e-02,1.03609
-5.99776e-02,1.0332
-5.99760e-02,1.03266
-5.99744e-02,1.03859
-5.99728e-02,1.0375
-5.99712e-02,1.03836
-5.99696e-02,1.03594
-5.99680e-02,1.03531
-5.99664e-02,1.0332
-5.99648e-02,1.0375
-5.99632e-02,1.03523
-5.99616e-02,1.03641
-5.99600e-02,1.03859
-5.99584e-02,1.03516
-5.99568e-02,1.03297
-5.99552e-02,1.03484
-5.99536e-02,1.03859
-5.99520e-02,1.03344
-5.99504e-02,1.03484
-5.99488e-02,1.03695
-5.99472e-02,1.03516
-5.99456e-02,1.035
-5.99440e-02,1.03133
-5.99424e-02,1.03562
-5.99408e-02,1.03156
-5.99392e-02,1.03859
-5.99376e-02,1.02883
-5.99360e-02,1.03344
-5.99344e-02,1.03484
-5.99328e-02,1.03477
-5.99312e-02,1.03859
-5.99296e-02,1.03703
-5.99280e-02,1.02883
-5.99264e-02,1.03516
-5.99248e-02,1.03711
-5.99232e-02,1.03609
-5.99216e-02,1.03234
-5.99200e-02,1.03391
-5.99184e-02,1.03047
-5.99168e-02,1.03609
-5.99152e-02,1.03609
-5.99136e-02,1.03695
-5.99120e-02,1.02961
-5.99104e-02,1.03391
-5.99088e-02,1.03156
-5.99072e-02,1.03289
-5.99056e-02,1.03594
-5.99040e-02,1.03375
-5.99024e-02,1.03312
-5.99008e-02,1.03484
-5.98992e-02,1.03453
-5.98976e-02,1.03703
-5.98960e-02,1.03344
-5.98944e-02,1.03234
-5.98928e-02,1.03641
-5.98912e-02,1.03398
-5.98896e-02,1.03664
-5.98880e-02,1.03484
-5.98864e-02,1.03539
-5.98848e-02,1.03344
-5.98832e-02,1.03234
-5.98816e-02,1.03156
-5.98800e-02,1.03531
-5.98784e-02,1.03297
-5.98768e-02,1.03562
-5.98752e-02,1.03016
-5.98736e-02,1.04
-5.98720e-02,1.03211
-5.98704e-02,1.035
-5.98688e-02,1.0307
-5.98672e-02,1.03562
-5.98656e-02,1.02367
-5.98640e-02,1.03047
-5.98624e-02,1.03375
-5.98608e-02,1.03094
-5.98592e-02,1.03195
-5.98576e-02,1.03312
-5.98560e-02,1.03703
-5.98544e-02,1.03703
-5.98528e-02,1.03516
-5.98512e-02,1.03148
-5.98496e-02,1.03422
-5.98480e-02,1.03195
-5.98464e-02,1.03414
-5.98448e-02,1.03414
-5.98432e-02,1.03094
-5.98416e-02,1.03539
-5.98400e-02,1.03562
-5.98384e-02,1.03547
-5.98368e-02,1.03391
-5.98352e-02,1.03445
-5.98336e-02,1.03695
-5.98320e-02,1.03133
-5.98304e-02,1.03344
-5.98288e-02,1.03297
-5.98272e-02,1.03391
-5.98256e-02,1.03477
-5.98240e-02,1.03344
-5.98224e-02,1.03609
-5.98208e-02,1.03695
-5.98192e-02,1.03148
-5.98176e-02,1.03312
-5.98160e-02,1.03562
-5.98144e-02,1.03703
-5.98128e-02,1.03234
-5.98112e-02,1.03516
-5.98096e-02,1.03617
-5.98080e-02,1.03516
-5.98064e-02,1.0318
-5.98048e-02,1.03242
-5.98032e-02,1.03078
-5.98016e-02,1.03094
-5.98000e-02,1.03477
-5.97984e-02,1.03484
-5.97968e-02,1.02609
-5.97952e-02,1.03391
-5.97936e-02,1.03289
-5.97920e-02,1.02961
-5.97904e-02,1.0332
-5.97888e-02,1.03156
-5.97872e-02,1.03664
-5.97856e-02,1.03391
-5.97840e-02,1.03266
-5.97824e-02,1.03492
-5.97808e-02,1.03453
-5.97792e-02,1.03094
-5.97776e-02,1.03391
-5.97760e-02,1.03203
-5.97744e-02,1.03281
-5.97728e-02,1.03414
-5.97712e-02,1.03375
-5.97696e-02,1.02945
-5.97680e-02,1.03266
-5.97664e-02,1.03477
-5.97648e-02,1.03562
-5.97632e-02,1.03312
-5.97616e-02,1.0375
-5.97600e-02,1.03484
-5.97584e-02,1.03375
-5.97568e-02,1.03234
-5.97552e-02,1.03094
-5.97536e-02,1.03484
-5.97520e-02,1.03516
-5.97504e-02,1.03461
-5.97488e-02,1.03664
-5.97472e-02,1.03047
-5.97456e-02,1.03148
-5.97440e-02,1.03617
-5.97424e-02,1.03453
-5.97408e-02,1.03297
-5.97392e-02,1.03484
-5.97376e-02,1.03344
-5.97360e-02,1.0293
-5.97344e-02,1.03125
-5.97328e-02,1.03539
-5.97312e-02,1.03445
-5.97296e-02,1.03203
-5.97280e-02,1.03344
-5.97264e-02,1.03195
-5.97248e-02,1.03422
-5.97232e-02,1.03836
-5.97216e-02,1.03047
-5.97200e-02,1.03703
-5.97184e-02,1.03344
-5.97168e-02,1.03312
-5.97152e-02,1.03312
-5.97136e-02,1.03398
-5.97120e-02,1.03047
-5.97104e-02,1.03148
-5.97088e-02,1.03
-5.97072e-02,1.03273
-5.97056e-02,1.03047
-5.97040e-02,1.03781
-5.97024e-02,1.03609
-5.97008e-02,1.03195
-5.96992e-02,1.03344
-5.96976e-02,1.03539
-5.96960e-02,1.02773
-5.96944e-02,1.03133
-5.96928e-02,1.03023
-5.96912e-02,1.03812
-5.96896e-02,1.03367
-5.96880e-02,1.03312
-5.96864e-02,1.02953
-5.96848e-02,1.03516
-5.96832e-02,1.03102
-5.96816e-02,1.03211
-5.96800e-02,1.02758
-5.96784e-02,1.03172
-5.96768e-02,1.03398
-5.96752e-02,1.03445
-5.96736e-02,1.03148
-5.96720e-02,1.03398
-5.96704e-02,1.0307
-5.96688e-02,1.03273
-5.96672e-02,1.03031
-5.96656e-02,1.03094
-5.96640e-02,1.03156
-5.96624e-02,1.02789
-5.96608e-02,1.03312
-5.96592e-02,1.03219
-5.96576e-02,1.0325
-5.96560e-02,1.03859
-5.96544e-02,1.03312
-5.96528e-02,1.03703
-5.96512e-02,1.02953
-5.96496e-02,1.03195
-5.96480e-02,1.03227
-5.96464e-02,1.03094
-5.96448e-02,1.03125
-5.96432e-02,1.02805
-5.96416e-02,1.03562
-5.96400e-02,1.03211
-5.96384e-02,1.03398
-5.96368e-02,1.03094
-5.96352e-02,1.03312
-5.96336e-02,1.02992
-5.96320e-02,1.0318
-5.96304e-02,1.03102
-5.96288e-02,1.03641
-5.96272e-02,1.0307
-5.96256e-02,1.03539
-5.96240e-02,1.03195
-5.96224e-02,1.03156
-5.96208e-02,1.03008
-5.96192e-02,1.03289
-5.96176e-02,1.02906
-5.96160e-02,1.03227
-5.96144e-02,1.03398
-5.96128e-02,1.03125
-5.96112e-02,1.03109
-5.96096e-02,1.03078
-5.96080e-02,1.03703
-5.96064e-02,1.03695
-5.96048e-02,1.03641
-5.96032e-02,1.03242
-5.96016e-02,1.03539
-5.96000e-02,1.03352
-5.95984e-02,1.03289
-5.95968e-02,1.03664
-5.95952e-02,1.03344
-5.95936e-02,1.03094
-5.95920e-02,1.03484
-5.95904e-02,1.03414
-5.95888e-02,1.03312
-5.95872e-02,1.03234
-5.95856e-02,1.0318
