Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,8e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-5.00000e-01,0.0672031
-4.99992e-01,0.0680937
-4.99984e-01,0.0680281
-4.99976e-01,0.0675125
-4.99968e-01,0.0686875
-4.99960e-01,0.0690062
-4.99952e-01,0.0676437
-4.99944e-01,0.0667656
-4.99936e-01,0.0683062
-4.99928e-01,0.0682812
-4.99920e-01,0.0688469
-4.99912e-01,0.0675625
-4.99904e-01,0.0668906
-4.99896e-01,0.0671687
-4.99888e-01,0.0670906
-4.99880e-01,0.0683625
-4.99872e-01,0.0681156
-4.99864e-01,0.0693719
-4.99856e-01,0.0684
-4.99848e-01,0.0685031
-4.99840e-01,0.067725
-4.99832e-01,0.0690969
-4.99824e-01,0.067425
-4.99816e-01,0.0676687
-4.99808e-01,0.0674219
-4.99800e-01,0.0673687
-4.99792e-01,0.06645
-4.99784e-01,0.0683375
-4.99776e-01,0.0684625
-4.99768e-01,0.0681031
-4.99760e-01,0.0682125
-4.99752e-01,0.0691375
-4.99744e-01,0.0677781
-4.99736e-01,0.0686594
-4.99728e-01,0.0681062
-4.99720e-01,0.0665187
-4.99712e-01,0.0691625
-4.99704e-01,0.06665
-4.99696e-01,0.0688719
-4.99688e-01,0.0685812
-4.99680e-01,0.0678719
-4.99672e-01,0.06785
-4.99664e-01,0.0674875
-4.99656e-01,0.0662562
-4.99648e-01,0.0683187
-4.99640e-01,0.0691625
-4.99632e-01,0.0685375
-4.99624e-01,0.0687812
-4.99616e-01,0.0677094
-4.99608e-01,0.0672812
-4.99600e-01,0.0693062
-4.99592e-01,0.0666062
-4.99584e-01,0.0678594
-4.99576e-01,0.0669187
-4.99568e-01,0.0668781
-4.99560e-01,0.0677469
-4.99552e-01,0.0675531
-4.99544e-01,0.0682469
-4.99536e-01,0.0684062
-4.99528e-01,0.0682125
-4.99520e-01,0.0682969
-4.99512e-01,0.0686656
-4.99504e-01,0.0664
-4.99496e-01,0.0680812
-4.99488e-01,0.068425
-4.99480e-01,0.0687969
-4.99472e-01,0.0686656
-4.99464e-01,0.0683656
-4.99456e-01,0.0685469
-4.99448e-01,0.0684906
-4.99440e-01,0.0676531
-4.99432e-01,0.0687344
-4.99424e-01,0.0670687
-4.99416e-01,0.0680562
-4.99408e-01,0.0684
-4.99400e-01,0.0686312
-4.99392e-01,0.0681125
-4.99384e-01,0.0681219
-4.99376e-01,0.06875
-4.99368e-01,0.0671531
-4.99360e-01,0.065975
-4.99352e-01,0.0681125
-4.99344e-01,0.0681531
-4.99336e-01,0.0677125
-4.99328e-01,0.0679375
-4.99320e-01,0.0690187
-4.99312e-01,0.067575
-4.99304e-01,0.0671281
-4.99296e-01,0.0687906
-4.99288e-01,0.0677094
-4.99280e-01,0.0687969
-4.99272e-01,0.0676625
-4.99264e-01,0.0670625
-4.99256e-01,0.0679656
-4.99248e-01,0.0687937
-4.99240e-01,0.0686312
-4.99232e-01,0.0661094
-4.99224e-01,0.0682031
-4.99216e-01,0.0679
-4.99208e-01,0.0684062
-4.99200e-01,0.0671687
-4.99192e-01,0.0671562
-4.99184e-01,0.0674719
-4.99176e-01,0.0677125
-4.99168e-01,0.0680969
-4.99160e-01,0.067125
-4.99152e-01,0.0681312
-4.99144e-01,0.0680219
-4.99136e-01,0.0671531
-4.99128e-01,0.0678125
-4.99120e-01,0.0694187
-4.99112e-01,0.0670406
-4.99104e-01,0.0675125
-4.99096e-01,0.0683719
-4.99088e-01,0.0676406
-4.99080e-01,0.0678781
-4.99072e-01,0.067375
-4.99064e-01,0.0682187
-4.99056e-01,0.0671031
-4.99048e-01,0.0687
-4.99040e-01,0.06765
-4.99032e-01,0.0678781
-4.99024e-01,0.0684125
-4.99016e-01,0.0676187
-4.99008e-01,0.0681812
-4.99000e-01,0.0676469
-4.98992e-01,0.0674812
-4.98984e-01,0.0675375
-4.98976e-01,0.0684906
-4.98968e-01,0.0675969
-4.98960e-01,0.06825
-4.98952e-01,0.0680625
-4.98944e-01,0.0672844
-4.98936e-01,0.0686656
-4.98928e-01,0.067525
-4.98920e-01,0.067425
-4.98912e-01,0.0678625
-4.98904e-01,0.0670437
-4.98896e-01,0.0685219
-4.98888e-01,0.0681406
-4.98880e-01,0.0674531
-4.98872e-01,0.0672656
-4.98864e-01,0.0684156
-4.98856e-01,0.0684156
-4.98848e-01,0.0692344
-4.98840e-01,0.0673531
-4.98832e-01,0.0670375
-4.98824e-01,0.0667156
-4.98816e-01,0.0681531
-4.98808e-01,0.0674156
-4.98800e-01,0.0676125
-4.98792e-01,0.0680969
-4.98784e-01,0.0670219
-4.98776e-01,0.0669937
-4.98768e-01,0.0684719
-4.98760e-01,0.068325
-4.98752e-01,0.0668156
-4.98744e-01,0.0682062
-4.98736e-01,0.0681687
-4.98728e-01,0.06695
-4.98720e-01,0.0684312
-4.98712e-01,0.0679469
-4.98704e-01,0.0684437
-4.98696e-01,0.0684031
-4.98688e-01,0.0675937
-4.98680e-01,0.0694906
-4.98672e-01,0.0674906
-4.98664e-01,0.0687875
-4.98656e-01,0.0676937
-4.98648e-01,0.0689344
-4.98640e-01,0.0667187
-4.98632e-01,0.0689312
-4.98624e-01,0.0676969
-4.98616e-01,0.0681719
-4.98608e-01,0.0681969
-4.98600e-01,0.0671062
-4.98592e-01,0.0678594
-4.98584e-01,0.0673562
-4.98576e-01,0.0684937
-4.98568e-01,0.0677312
-4.98560e-01,0.0675875
-4.98552e-01,0.0676406
-4.98544e-01,0.0678062
-4.98536e-01,0.0678375
-4.98528e-01,0.0684187
-4.98520e-01,0.0675719
-4.98512e-01,0.0682187
-4.98504e-01,0.0684406
-4.98496e-01,0.0683281
-4.98488e-01,0.06785
-4.98480e-01,0.0687531
-4.98472e-01,0.0685156
-4.98464e-01,0.0696094
-4.98456e-01,0.0670531
-4.98448e-01,0.0680219
-4.98440e-01,0.0671594
-4.98432e-01,0.0686156
-4.98424e-01,0.0674781
-4.98416e-01,0.0678344
-4.98408e-01,0.0673625
-4.98400e-01,0.0678344
-4.98392e-01,0.0686875
-4.98384e-01,0.0685625
-4.98376e-01,0.0685719
-4.98368e-01,0.0678031
-4.98360e-01,0.0675219
-4.98352e-01,0.0671094
-4.98344e-01,0.0682781
-4.98336e-01,0.0665875
-4.98328e-01,0.0684875
-4.98320e-01,0.0686906
-4.98312e-01,0.0678562
-4.98304e-01,0.0680875
-4.98296e-01,0.0683031
-4.98288e-01,0.0685281
-4.98280e-01,0.0684406
-4.98272e-01,0.0680437
-4.98264e-01,0.0679344
-4.98256e-01,0.0675844
-4.98248e-01,0.0685687
-4.98240e-01,0.06845
-4.98232e-01,0.0688
-4.98224e-01,0.0684406
-4.98216e-01,0.0682187
-4.98208e-01,0.0677531
-4.98200e-01,0.0680094
-4.98192e-01,0.0686219
-4.98184e-01,0.0676219
-4.98176e-01,0.0678187
-4.98168e-01,0.0680531
-4.98160e-01,0.0686312
-4.98152e-01,0.0672875
-4.98144e-01,0.0679062
-4.98136e-01,0.0684344
-4.98128e-01,0.0680781
-4.98120e-01,0.0683562
-4.98112e-01,0.068375
-4.98104e-01,0.0683875
-4.98096e-01,0.0680281
-4.98088e-01,0.0669062
-4.98080e-01,0.0670312
-4.98072e-01,0.0677687
-4.98064e-01,0.0692969
-4.98056e-01,0.0688562
