Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.04
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-2.00000e-01,0.0877656
-1.99997e-01,0.0841641
-1.99994e-01,0.0881172
-1.99990e-01,0.0863125
-1.99987e-01,0.0838125
-1.99984e-01,0.0871641
-1.99981e-01,0.0876797
-1.99978e-01,0.0891328
-1.99974e-01,0.0912891
-1.99971e-01,0.0835703
-1.99968e-01,0.0881016
-1.99965e-01,0.0894453
-1.99962e-01,0.0911328
-1.99958e-01,0.0854219
-1.99955e-01,0.0894063
-1.99952e-01,0.0834063
-1.99949e-01,0.0854375
-1.99946e-01,0.0885156
-1.99942e-01,0.0874453
-1.99939e-01,0.0899844
-1.99936e-01,0.0825234
-1.99933e-01,0.0878516
-1.99930e-01,0.0885234
-1.99926e-01,0.0910313
-1.99923e-01,0.0851875
-1.99920e-01,0.0920781
-1.99917e-01,0.0898516
-1.99914e-01,0.0877578
-1.99910e-01,0.0874531
-1.99907e-01,0.0865234
-1.99904e-01,0.0842891
-1.99901e-01,0.0889766
-1.99898e-01,0.0849063
-1.99894e-01,0.0885938
-1.99891e-01,0.0861719
-1.99888e-01,0.0867578
-1.99885e-01,0.0857734
-1.99882e-01,0.0883047
-1.99878e-01,0.0870859
-1.99875e-01,0.0892266
-1.99872e-01,0.0845391
-1.99869e-01,0.0840469
-1.99866e-01,0.0865625
-1.99862e-01,0.0847422
-1.99859e-01,0.0857813
-1.99856e-01,0.0897734
-1.99853e-01,0.0845625
-1.99850e-01,0.0918359
-1.99846e-01,0.0859844
-1.99843e-01,0.0920313
-1.99840e-01,0.0912344
-1.99837e-01,0.0871016
-1.99834e-01,0.0891094
-1.99830e-01,0.0878281
-1.99827e-01,0.0919297
-1.99824e-01,0.0841328
-1.99821e-01,0.0881016
-1.99818e-01,0.0849531
-1.99814e-01,0.0866719
-1.99811e-01,0.0879297
-1.99808e-01,0.0897344
-1.99805e-01,0.088875
-1.99802e-01,0.088125
-1.99798e-01,0.0879922
-1.99795e-01,0.0856172
-1.99792e-01,0.0862734
-1.99789e-01,0.0849453
-1.99786e-01,0.0858438
-1.99782e-01,0.0911875
-1.99779e-01,0.0875703
-1.99776e-01,0.0833906
-1.99773e-01,0.0784063
-1.99770e-01,0.0917344
-1.99766e-01,0.0859063
-1.99763e-01,0.0859531
-1.99760e-01,0.0865078
-1.99757e-01,0.0835391
-1.99754e-01,0.09225
-1.99750e-01,0.0822031
-1.99747e-01,0.0878125
-1.99744e-01,0.0862188
-1.99741e-01,0.0846641
-1.99738e-01,0.0855469
-1.99734e-01,0.0891797
-1.99731e-01,0.0922578
-1.99728e-01,0.0874844
-1.99725e-01,0.0918672
-1.99722e-01,0.0889453
-1.99718e-01,0.0791484
-1.99715e-01,0.0938125
-1.99712e-01,0.0873906
-1.99709e-01,0.0914141
-1.99706e-01,0.0868438
-1.99702e-01,0.0851875
-1.99699e-01,0.0895703
-1.99696e-01,0.0840156
-1.99693e-01,0.0910703
-1.99690e-01,0.0917109
-1.99686e-01,0.0883672
-1.99683e-01,0.0888984
-1.99680e-01,0.0849453
-1.99677e-01,0.0842813
-1.99674e-01,0.0861484
-1.99670e-01,0.0865156
-1.99667e-01,0.0865234
-1.99664e-01,0.0886563
-1.99661e-01,0.0885547
-1.99658e-01,0.0869375
-1.99654e-01,0.0914766
-1.99651e-01,0.0824609
-1.99648e-01,0.0865391
-1.99645e-01,0.0876094
-1.99642e-01,0.0878047
-1.99638e-01,0.0865469
-1.99635e-01,0.0907578
-1.99632e-01,0.0872188
-1.99629e-01,0.0877344
-1.99626e-01,0.086875
-1.99622e-01,0.0890781
-1.99619e-01,0.0898438
-1.99616e-01,0.0841953
-1.99613e-01,0.0846016
-1.99610e-01,0.0871016
-1.99606e-01,0.0845
-1.99603e-01,0.0892734
-1.99600e-01,0.0852891
-1.99597e-01,0.0881094
-1.99594e-01,0.0875703
-1.99590e-01,0.0849375
-1.99587e-01,0.0862969
-1.99584e-01,0.0913672
-1.99581e-01,0.0854844
-1.99578e-01,0.0845313
-1.99574e-01,0.0855547
-1.99571e-01,0.0874297
-1.99568e-01,0.0861484
-1.99565e-01,0.0885156
-1.99562e-01,0.0884297
-1.99558e-01,0.0883438
-1.99555e-01,0.0845625
-1.99552e-01,0.0857813
-1.99549e-01,0.0856953
-1.99546e-01,0.0886563
-1.99542e-01,0.0839141
-1.99539e-01,0.0862344
-1.99536e-01,0.0834375
-1.99533e-01,0.0930625
-1.99530e-01,0.0841094
-1.99526e-01,0.0900156
-1.99523e-01,0.0871484
-1.99520e-01,0.0906406
-1.99517e-01,0.0878672
-1.99514e-01,0.0875625
-1.99510e-01,0.0845547
-1.99507e-01,0.0826875
-1.99504e-01,0.0916719
-1.99501e-01,0.0914453
-1.99498e-01,0.0857109
-1.99494e-01,0.0884063
-1.99491e-01,0.0851094
-1.99488e-01,0.0908359
-1.99485e-01,0.0871016
-1.99482e-01,0.0860391
-1.99478e-01,0.0809922
-1.99475e-01,0.09125
-1.99472e-01,0.0880078
-1.99469e-01,0.0875078
-1.99466e-01,0.0875391
-1.99462e-01,0.0861016
-1.99459e-01,0.0854531
-1.99456e-01,0.0910781
-1.99453e-01,0.0880703
-1.99450e-01,0.0884688
-1.99446e-01,0.0871172
-1.99443e-01,0.0883281
-1.99440e-01,0.0844844
-1.99437e-01,0.0825938
-1.99434e-01,0.0898438
-1.99430e-01,0.0844766
-1.99427e-01,0.0867656
-1.99424e-01,0.0839141
-1.99421e-01,0.0879922
-1.99418e-01,0.0893828
-1.99414e-01,0.0885078
-1.99411e-01,0.0893203
-1.99408e-01,0.0828438
-1.99405e-01,0.0905703
-1.99402e-01,0.0865391
-1.99398e-01,0.093875
-1.99395e-01,0.0893203
-1.99392e-01,0.0857422
-1.99389e-01,0.0911016
-1.99386e-01,0.0834766
-1.99382e-01,0.0901719
-1.99379e-01,0.0825
-1.99376e-01,0.0868359
-1.99373e-01,0.0898516
-1.99370e-01,0.0872656
-1.99366e-01,0.0888125
-1.99363e-01,0.0904375
-1.99360e-01,0.0902188
-1.99357e-01,0.0899297
-1.99354e-01,0.0839766
-1.99350e-01,0.08775
-1.99347e-01,0.0875
-1.99344e-01,0.0892734
-1.99341e-01,0.0877188
-1.99338e-01,0.0890625
-1.99334e-01,0.0868516
-1.99331e-01,0.0814063
-1.99328e-01,0.08525
-1.99325e-01,0.0877734
-1.99322e-01,0.0829609
-1.99318e-01,0.0871719
-1.99315e-01,0.0869531
-1.99312e-01,0.0844844
-1.99309e-01,0.0921328
-1.99306e-01,0.0883359
-1.99302e-01,0.0906406
-1.99299e-01,0.0831719
-1.99296e-01,0.0901172
-1.99293e-01,0.0840859
-1.99290e-01,0.0859688
-1.99286e-01,0.0879531
-1.99283e-01,0.0901953
-1.99280e-01,0.0886172
-1.99277e-01,0.0892969
-1.99274e-01,0.0901641
-1.99270e-01,0.0890547
-1.99267e-01,0.0854297
-1.99264e-01,0.0857813
-1.99261e-01,0.0875547
-1.99258e-01,0.0931406
-1.99254e-01,0.0840391
-1.99251e-01,0.0885
-1.99248e-01,0.0890859
-1.99245e-01,0.0826094
-1.99242e-01,0.0905078
-1.99238e-01,0.0819453
-1.99235e-01,0.0942969
-1.99232e-01,0.0837344
-1.99229e-01,0.0866406
-1.99226e-01,0.0835859
