Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,1.6e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-1.0000e-01,0.00854687
-9.9998e-02,0.00729687
-9.9997e-02,0.00852344
-9.9995e-02,0.00955469
-9.9994e-02,0.00744531
-9.9992e-02,0.00939062
-9.9990e-02,0.00896875
-9.9989e-02,0.00890625
-9.9987e-02,0.0085
-9.9986e-02,0.00767187
-9.9984e-02,0.00776562
-9.9982e-02,0.00803125
-9.9981e-02,0.00810156
-9.9979e-02,0.00952344
-9.9978e-02,0.00745312
-9.9976e-02,0.00817187
-9.9974e-02,0.00729687
-9.9973e-02,0.00841406
-9.9971e-02,0.00820312
-9.9970e-02,0.00776562
-9.9968e-02,0.00796875
-9.9966e-02,0.00778906
-9.9965e-02,0.00828906
-9.9963e-02,0.00884375
-9.9962e-02,0.00796875
-9.9960e-02,0.00785156
-9.9958e-02,0.00803906
-9.9957e-02,0.00804687
-9.9955e-02,0.00801562
-9.9954e-02,0.00664844
-9.9952e-02,0.00721094
-9.9950e-02,0.00713281
-9.9949e-02,0.00828125
-9.9947e-02,0.00805469
-9.9946e-02,0.00949219
-9.9944e-02,0.00886719
-9.9942e-02,0.00801562
-9.9941e-02,0.00802344
-9.9939e-02,0.00579687
-9.9938e-02,0.00760937
-9.9936e-02,0.00772656
-9.9934e-02,0.00748437
-9.9933e-02,0.00863281
-9.9931e-02,0.00716406
-9.9930e-02,0.00828125
-9.9928e-02,0.0084375
-9.9926e-02,0.00894531
-9.9925e-02,0.00839844
-9.9923e-02,0.00757812
-9.9922e-02,0.00850781
-9.9920e-02,0.00748437
-9.9918e-02,0.00792187
-9.9917e-02,0.00817969
-9.9915e-02,0.00628125
-9.9914e-02,0.00804687
-9.9912e-02,0.00746094
-9.9910e-02,0.00746094
-9.9909e-02,0.00785156
-9.9907e-02,0.00866406
-9.9906e-02,0.00807812
-9.9904e-02,0.00797656
-9.9902e-02,0.008125
-9.9901e-02,0.00732031
-9.9899e-02,0.00578125
-9.9898e-02,0.00857031
-9.9896e-02,0.00780469
-9.9894e-02,0.00751562
-9.9893e-02,0.00778125
-9.9891e-02,0.00817969
-9.9890e-02,0.0084375
-9.9888e-02,0.00924219
-9.9886e-02,0.00753125
-9.9885e-02,0.00811719
-9.9883e-02,0.00808594
-9.9882e-02,0.00689062
-9.9880e-02,0.00778906
-9.9878e-02,0.00692187
-9.9877e-02,0.0075625
-9.9875e-02,0.00736719
-9.9874e-02,0.00775
-9.9872e-02,0.00753125
-9.9870e-02,0.00871875
-9.9869e-02,0.00957812
-9.9867e-02,0.00817187
-9.9866e-02,0.0086875
-9.9864e-02,0.00813281
-9.9862e-02,0.00810156
-9.9861e-02,0.00964844
-9.9859e-02,0.00763281
-9.9858e-02,0.00763281
-9.9856e-02,0.0089375
-9.9854e-02,0.006625
-9.9853e-02,0.00842187
-9.9851e-02,0.00796094
-9.9850e-02,0.00674219
-9.9848e-02,0.00625
-9.9846e-02,0.00720312
-9.9845e-02,0.00754687
-9.9843e-02,0.006625
-9.9842e-02,0.00790625
-9.9840e-02,0.00778125
-9.9838e-02,0.00620312
-9.9837e-02,0.00771875
-9.9835e-02,0.00866406
-9.9834e-02,0.00716406
-9.9832e-02,0.00907031
-9.9830e-02,0.00883594
-9.9829e-02,0.00757031
-9.9827e-02,0.0074375
-9.9826e-02,0.00789844
-9.9824e-02,0.00685937
-9.9822e-02,0.00802344
-9.9821e-02,0.00725781
-9.9819e-02,0.0088125
-9.9818e-02,0.00783594
-9.9816e-02,0.00884375
-9.9814e-02,0.00725781
-9.9813e-02,0.00720312
-9.9811e-02,0.00807812
-9.9810e-02,0.00945312
-9.9808e-02,0.00767969
-9.9806e-02,0.00767969
-9.9805e-02,0.00805469
-9.9803e-02,0.00872656
-9.9802e-02,0.00725781
-9.9800e-02,0.0084375
-9.9798e-02,0.00682812
-9.9797e-02,0.00792187
-9.9795e-02,0.00803125
-9.9794e-02,0.008
-9.9792e-02,0.00702344
-9.9790e-02,0.0071875
-9.9789e-02,0.00784375
-9.9787e-02,0.00760937
-9.9786e-02,0.00783594
-9.9784e-02,0.00882812
-9.9782e-02,0.0080625
-9.9781e-02,0.0079375
-9.9779e-02,0.00807031
-9.9778e-02,0.00739844
-9.9776e-02,0.00685156
-9.9774e-02,0.00754687
-9.9773e-02,0.00804687
-9.9771e-02,0.0074375
-9.9770e-02,0.00903906
-9.9768e-02,0.0075625
-9.9766e-02,0.00746094
-9.9765e-02,0.00889062
-9.9763e-02,0.00782031
-9.9762e-02,0.0091875
-9.9760e-02,0.00747656
-9.9758e-02,0.00823437
-9.9757e-02,0.00817187
-9.9755e-02,0.0073125
-9.9754e-02,0.007875
-9.9752e-02,0.00785156
-9.9750e-02,0.00617969
-9.9749e-02,0.00791406
-9.9747e-02,0.00801562
-9.9746e-02,0.00758594
-9.9744e-02,0.00671875
-9.9742e-02,0.00771875
-9.9741e-02,0.0060625
-9.9739e-02,0.00685937
-9.9738e-02,0.00799219
-9.9736e-02,0.00935156
-9.9734e-02,0.00799219
-9.9733e-02,0.00732031
-9.9731e-02,0.00669531
-9.9730e-02,0.00925781
-9.9728e-02,0.00903906
-9.9726e-02,0.00792969
-9.9725e-02,0.00717969
-9.9723e-02,0.00766406
-9.9722e-02,0.00648437
-9.9720e-02,0.00817969
-9.9718e-02,0.00788281
-9.9717e-02,0.00675781
-9.9715e-02,0.00920312
-9.9714e-02,0.00789844
-9.9712e-02,0.00814062
-9.9710e-02,0.00614844
-9.9709e-02,0.00732812
-9.9707e-02,0.00771875
-9.9706e-02,0.007375
-9.9704e-02,0.00728125
-9.9702e-02,0.00640625
-9.9701e-02,0.00864844
-9.9699e-02,0.0091875
-9.9698e-02,0.00869531
-9.9696e-02,0.00814844
-9.9694e-02,0.00760156
-9.9693e-02,0.00689844
-9.9691e-02,0.00821094
-9.9690e-02,0.00675
-9.9688e-02,0.00714062
-9.9686e-02,0.00864844
-9.9685e-02,0.00689844
-9.9683e-02,0.00689844
-9.9682e-02,0.00798437
-9.9680e-02,0.00882812
-9.9678e-02,0.00914062
-9.9677e-02,0.00708594
-9.9675e-02,0.00739844
-9.9674e-02,0.00692969
-9.9672e-02,0.00782031
-9.9670e-02,0.00803906
-9.9669e-02,0.00663281
-9.9667e-02,0.00753125
-9.9666e-02,0.00829687
-9.9664e-02,0.00771875
-9.9662e-02,0.00725781
-9.9661e-02,0.00817969
-9.9659e-02,0.00802344
-9.9658e-02,0.00785156
-9.9656e-02,0.00769531
-9.9654e-02,0.00814844
-9.9653e-02,0.00855469
-9.9651e-02,0.00808594
-9.9650e-02,0.0095625
-9.9648e-02,0.00894531
-9.9646e-02,0.00838281
-9.9645e-02,0.00728125
-9.9643e-02,0.00763281
-9.9642e-02,0.00842969
-9.9640e-02,0.00714844
-9.9638e-02,0.0079375
-9.9637e-02,0.00810156
-9.9635e-02,0.00827344
-9.9634e-02,0.00933594
-9.9632e-02,0.00647656
-9.9630e-02,0.00733594
-9.9629e-02,0.00692187
-9.9627e-02,0.00671875
-9.9626e-02,0.00890625
-9.9624e-02,0.00749219
-9.9622e-02,0.00872656
-9.9621e-02,0.00729687
-9.9619e-02,0.007875
-9.9618e-02,0.00765625
-9.9616e-02,0.00822656
-9.9614e-02,0.00971875
-9.9613e-02,0.00857031
