Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,8e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-5.00000e-01,0.0022
-4.99992e-01,0.00208125
-4.99984e-01,0.00289688
-4.99976e-01,0.000784376
-4.99968e-01,0.00274375
-4.99960e-01,0.00172813
-4.99952e-01,0.00251875
-4.99944e-01,0.00146875
-4.99936e-01,0.00200313
-4.99928e-01,0.00250625
-4.99920e-01,0.000775001
-4.99912e-01,0.0016375
-4.99904e-01,0.00214375
-4.99896e-01,0.00111875
-4.99888e-01,0.00239688
-4.99880e-01,0.00138438
-4.99872e-01,0.00225
-4.99864e-01,0.00189688
-4.99856e-01,0.00204063
-4.99848e-01,0.00288438
-4.99840e-01,0.00198125
-4.99832e-01,0.00115938
-4.99824e-01,0.00170313
-4.99816e-01,0.00250313
-4.99808e-01,0.00261875
-4.99800e-01,0.00225313
-4.99792e-01,0.00111563
-4.99784e-01,0.00184688
-4.99776e-01,0.000759376
-4.99768e-01,0.00221563
-4.99760e-01,0.000775001
-4.99752e-01,0.00242813
-4.99744e-01,0.000756251
-4.99736e-01,0.00230625
-4.99728e-01,0.00260313
-4.99720e-01,0.000925001
-4.99712e-01,0.00226875
-4.99704e-01,0.0024375
-4.99696e-01,0.001825
-4.99688e-01,0.00205
-4.99680e-01,0.00192813
-4.99672e-01,0.00143438
-4.99664e-01,0.0022125
-4.99656e-01,0.00152188
-4.99648e-01,0.00202188
-4.99640e-01,0.00208125
-4.99632e-01,0.00183125
-4.99624e-01,0.00215938
-4.99616e-01,0.00187813
-4.99608e-01,0.00136875
-4.99600e-01,0.0019625
-4.99592e-01,0.00180938
-4.99584e-01,0.00126563
-4.99576e-01,0.00181875
-4.99568e-01,0.000859376
-4.99560e-01,0.000896876
-4.99552e-01,0.00191875
-4.99544e-01,0.000875001
-4.99536e-01,0.00226563
-4.99528e-01,0.000868751
-4.99520e-01,0.00251875
-4.99512e-01,0.00203438
-4.99504e-01,0.00171563
-4.99496e-01,0.00172813
-4.99488e-01,0.00162188
-4.99480e-01,0.00166563
-4.99472e-01,0.0025375
-4.99464e-01,0.00190938
-4.99456e-01,0.00127813
-4.99448e-01,0.00204375
-4.99440e-01,0.00113438
-4.99432e-01,0.00153125
-4.99424e-01,0.00101563
-4.99416e-01,0.00191563
-4.99408e-01,0.00193125
-4.99400e-01,0.001375
-4.99392e-01,0.0019125
-4.99384e-01,0.00250313
-4.99376e-01,0.00204063
-4.99368e-01,0.00150313
-4.99360e-01,0.00135938
-4.99352e-01,0.00116563
-4.99344e-01,0.00127813
-4.99336e-01,0.00204375
-4.99328e-01,0.00225938
-4.99320e-01,0.0013875
-4.99312e-01,0.00169688
-4.99304e-01,0.0018375
-4.99296e-01,0.00215938
-4.99288e-01,0.00209063
-4.99280e-01,0.00178438
-4.99272e-01,0.000753126
-4.99264e-01,0.00202813
-4.99256e-01,0.00185313
-4.99248e-01,0.00230938
-4.99240e-01,0.001975
-4.99232e-01,0.00183125
-4.99224e-01,0.000750001
-4.99216e-01,0.0023375
-4.99208e-01,0.00293125
-4.99200e-01,0.00204688
-4.99192e-01,0.002025
-4.99184e-01,0.001575
-4.99176e-01,0.00181875
-4.99168e-01,0.000884376
-4.99160e-01,0.00286875
-4.99152e-01,0.00165
-4.99144e-01,0.00205313
-4.99136e-01,0.00231875
-4.99128e-01,0.002575
-4.99120e-01,0.00126875
-4.99112e-01,0.0019625
-4.99104e-01,0.00211563
-4.99096e-01,0.00151563
-4.99088e-01,0.0021
-4.99080e-01,0.00181875
-4.99072e-01,0.00266563
-4.99064e-01,0.0026
-4.99056e-01,0.0019875
-4.99048e-01,0.00184375
-4.99040e-01,0.00156563
-4.99032e-01,0.00191875
-4.99024e-01,0.00238438
-4.99016e-01,0.00189375
-4.99008e-01,0.00253438
-4.99000e-01,0.00174063
-4.98992e-01,0.0013625
-4.98984e-01,0.00284063
-4.98976e-01,0.00203438
-4.98968e-01,0.00209688
-4.98960e-01,0.00285
-4.98952e-01,0.000381251
-4.98944e-01,0.00135625
-4.98936e-01,0.00171563
-4.98928e-01,0.00190625
-4.98920e-01,0.00145938
-4.98912e-01,0.00213125
-4.98904e-01,0.00151875
-4.98896e-01,0.00123438
-4.98888e-01,0.000881251
-4.98880e-01,0.00248438
-4.98872e-01,0.00124688
-4.98864e-01,0.00302188
-4.98856e-01,0.00128125
-4.98848e-01,0.00215313
-4.98840e-01,0.0017625
-4.98832e-01,0.00192813
-4.98824e-01,0.00145938
-4.98816e-01,0.00174375
-4.98808e-01,0.00185625
-4.98800e-01,0.00201563
-4.98792e-01,0.00134375
-4.98784e-01,0.00165938
-4.98776e-01,0.00137813
-4.98768e-01,0.000946876
-4.98760e-01,0.001775
-4.98752e-01,0.00120938
-4.98744e-01,0.00267813
-4.98736e-01,0.00260313
-4.98728e-01,0.0018125
-4.98720e-01,0.00303438
-4.98712e-01,0.00135
-4.98704e-01,0.00105
-4.98696e-01,0.00197813
-4.98688e-01,0.00105938
-4.98680e-01,0.00210938
-4.98672e-01,0.00165625
-4.98664e-01,0.00160625
-4.98656e-01,0.00270938
-4.98648e-01,0.000634376
-4.98640e-01,0.00183438
-4.98632e-01,0.0017
-4.98624e-01,0.00151563
-4.98616e-01,0.00184375
-4.98608e-01,0.00144063
-4.98600e-01,0.00185938
-4.98592e-01,0.0017
-4.98584e-01,0.0026375
-4.98576e-01,0.00236875
-4.98568e-01,0.00149688
-4.98560e-01,0.00304375
-4.98552e-01,0.000796876
-4.98544e-01,0.0018
-4.98536e-01,0.00246875
-4.98528e-01,0.00193438
-4.98520e-01,0.00152813
-4.98512e-01,0.00146563
-4.98504e-01,0.00169063
-4.98496e-01,0.00178125
-4.98488e-01,0.000368751
-4.98480e-01,0.00264375
-4.98472e-01,0.0013625
-4.98464e-01,0.00199375
-4.98456e-01,0.00294375
-4.98448e-01,0.00165625
-4.98440e-01,0.00125938
-4.98432e-01,0.0018875
-4.98424e-01,0.00114688
-4.98416e-01,0.00190313
-4.98408e-01,0.00237188
-4.98400e-01,0.0023125
-4.98392e-01,0.0034875
-4.98384e-01,0.00165313
-4.98376e-01,0.0021125
-4.98368e-01,0.00117813
-4.98360e-01,0.000878126
-4.98352e-01,0.001725
-4.98344e-01,0.00209688
-4.98336e-01,0.001725
-4.98328e-01,0.001425
-4.98320e-01,0.001625
-4.98312e-01,0.00250313
-4.98304e-01,0.00183125
-4.98296e-01,0.00165313
-4.98288e-01,0.00141875
-4.98280e-01,0.0017625
-4.98272e-01,0.00203438
-4.98264e-01,0.00230625
-4.98256e-01,0.00181563
-4.98248e-01,0.00214063
-4.98240e-01,0.00169688
-4.98232e-01,0.00207813
-4.98224e-01,0.00243125
-4.98216e-01,0.00279063
-4.98208e-01,0.00237188
-4.98200e-01,0.00120938
-4.98192e-01,0.00210625
-4.98184e-01,0.0024125
-4.98176e-01,0.00161875
-4.98168e-01,0.00169063
-4.98160e-01,0.00184063
-4.98152e-01,0.00124063
-4.98144e-01,0.00168438
-4.98136e-01,0.00338125
-4.98128e-01,0.00155625
-4.98120e-01,0.0016875
-4.98112e-01,0.00275625
-4.98104e-01,0.002575
-4.98096e-01,0.00252188
-4.98088e-01,0.00175625
-4.98080e-01,0.0020875
-4.98072e-01,0.00102813
-4.98064e-01,0.00178438
-4.98056e-01,0.001375
