Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.1
Sample Interval,8e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
-5.00000e-01,0.023
-4.99992e-01,0.0230344
-4.99984e-01,0.0227625
-4.99976e-01,0.0225625
-4.99968e-01,0.020725
-4.99960e-01,0.0230375
-4.99952e-01,0.0215594
-4.99944e-01,0.0223125
-4.99936e-01,0.0233594
-4.99928e-01,0.024325
-4.99920e-01,0.0227469
-4.99912e-01,0.0206219
-4.99904e-01,0.0218625
-4.99896e-01,0.0224875
-4.99888e-01,0.0213219
-4.99880e-01,0.0215094
-4.99872e-01,0.0234219
-4.99864e-01,0.0223844
-4.99856e-01,0.0225094
-4.99848e-01,0.0222875
-4.99840e-01,0.0225125
-4.99832e-01,0.0231094
-4.99824e-01,0.0212
-4.99816e-01,0.0226625
-4.99808e-01,0.0221844
-4.99800e-01,0.022625
-4.99792e-01,0.02235
-4.99784e-01,0.0217875
-4.99776e-01,0.0229094
-4.99768e-01,0.0213844
-4.99760e-01,0.0245
-4.99752e-01,0.0218
-4.99744e-01,0.0199969
-4.99736e-01,0.0233844
-4.99728e-01,0.02285
-4.99720e-01,0.0213125
-4.99712e-01,0.0211594
-4.99704e-01,0.02305
-4.99696e-01,0.021125
-4.99688e-01,0.0219969
-4.99680e-01,0.0217375
-4.99672e-01,0.0231
-4.99664e-01,0.02305
-4.99656e-01,0.0209469
-4.99648e-01,0.02145
-4.99640e-01,0.0206469
-4.99632e-01,0.0222125
-4.99624e-01,0.0214125
-4.99616e-01,0.0225625
-4.99608e-01,0.0225
-4.99600e-01,0.0224969
-4.99592e-01,0.0244844
-4.99584e-01,0.0206375
-4.99576e-01,0.0211344
-4.99568e-01,0.0229094
-4.99560e-01,0.0229719
-4.99552e-01,0.0224125
-4.99544e-01,0.0224625
-4.99536e-01,0.0216344
-4.99528e-01,0.0227344
-4.99520e-01,0.0239344
-4.99512e-01,0.0226719
-4.99504e-01,0.0224719
-4.99496e-01,0.0213625
-4.99488e-01,0.0228969
-4.99480e-01,0.02355
-4.99472e-01,0.0216625
-4.99464e-01,0.0214875
-4.99456e-01,0.0231375
-4.99448e-01,0.0217844
-4.99440e-01,0.0222125
-4.99432e-01,0.0223375
-4.99424e-01,0.0229344
-4.99416e-01,0.02365
-4.99408e-01,0.0222469
-4.99400e-01,0.0233219
-4.99392e-01,0.02255
-4.99384e-01,0.0220375
-4.99376e-01,0.0232
-4.99368e-01,0.0224844
-4.99360e-01,0.022325
-4.99352e-01,0.0226875
-4.99344e-01,0.023
-4.99336e-01,0.0235375
-4.99328e-01,0.0220125
-4.99320e-01,0.023025
-4.99312e-01,0.0213
-4.99304e-01,0.0218375
-4.99296e-01,0.0216375
-4.99288e-01,0.0220375
-4.99280e-01,0.0225531
-4.99272e-01,0.0217125
-4.99264e-01,0.0217219
-4.99256e-01,0.0226875
-4.99248e-01,0.0232625
-4.99240e-01,0.0231625
-4.99232e-01,0.02285
-4.99224e-01,0.0222344
-4.99216e-01,0.0228875
-4.99208e-01,0.0219344
-4.99200e-01,0.0211125
-4.99192e-01,0.023475
-4.99184e-01,0.0211
-4.99176e-01,0.0237
-4.99168e-01,0.0211
-4.99160e-01,0.02255
-4.99152e-01,0.0238875
-4.99144e-01,0.0220625
-4.99136e-01,0.022225
-4.99128e-01,0.0212094
-4.99120e-01,0.0212375
-4.99112e-01,0.0231
-4.99104e-01,0.0216344
-4.99096e-01,0.0216
-4.99088e-01,0.0221875
-4.99080e-01,0.0227094
-4.99072e-01,0.0234625
-4.99064e-01,0.0210875
-4.99056e-01,0.0222969
-4.99048e-01,0.0219875
-4.99040e-01,0.0240844
-4.99032e-01,0.024225
-4.99024e-01,0.02205
-4.99016e-01,0.023725
-4.99008e-01,0.021725
-4.99000e-01,0.0234344
-4.98992e-01,0.022475
-4.98984e-01,0.0226719
-4.98976e-01,0.0228719
-4.98968e-01,0.0224875
-4.98960e-01,0.0221125
-4.98952e-01,0.022325
-4.98944e-01,0.0222344
-4.98936e-01,0.0227125
-4.98928e-01,0.0226375
-4.98920e-01,0.02165
-4.98912e-01,0.022875
-4.98904e-01,0.0220344
-4.98896e-01,0.0207125
-4.98888e-01,0.021925
-4.98880e-01,0.0225375
-4.98872e-01,0.02215
-4.98864e-01,0.0225
-4.98856e-01,0.0220875
-4.98848e-01,0.0223625
-4.98840e-01,0.0215719
-4.98832e-01,0.0227719
-4.98824e-01,0.0235844
-4.98816e-01,0.0220594
-4.98808e-01,0.020925
-4.98800e-01,0.0237469
-4.98792e-01,0.0217375
-4.98784e-01,0.0224875
-4.98776e-01,0.0221719
-4.98768e-01,0.0229719
-4.98760e-01,0.0226
-4.98752e-01,0.0233094
-4.98744e-01,0.0216
-4.98736e-01,0.0213625
-4.98728e-01,0.0220719
-4.98720e-01,0.0215719
-4.98712e-01,0.0224375
-4.98704e-01,0.0232125
-4.98696e-01,0.0217625
-4.98688e-01,0.02305
-4.98680e-01,0.0221719
-4.98672e-01,0.022125
-4.98664e-01,0.0220594
-4.98656e-01,0.022075
-4.98648e-01,0.0221375
-4.98640e-01,0.0225344
-4.98632e-01,0.0222
-4.98624e-01,0.022175
-4.98616e-01,0.0216375
-4.98608e-01,0.0218594
-4.98600e-01,0.023475
-4.98592e-01,0.0217594
-4.98584e-01,0.0216844
-4.98576e-01,0.022925
-4.98568e-01,0.0238
-4.98560e-01,0.0214094
-4.98552e-01,0.023925
-4.98544e-01,0.020775
-4.98536e-01,0.0209094
-4.98528e-01,0.0224
-4.98520e-01,0.0222125
-4.98512e-01,0.022725
-4.98504e-01,0.0217125
-4.98496e-01,0.0223844
-4.98488e-01,0.0235
-4.98480e-01,0.0221375
-4.98472e-01,0.0221875
-4.98464e-01,0.0225469
-4.98456e-01,0.0212344
-4.98448e-01,0.0223719
-4.98440e-01,0.02035
-4.98432e-01,0.0214219
-4.98424e-01,0.022325
-4.98416e-01,0.022875
-4.98408e-01,0.021
-4.98400e-01,0.0229375
-4.98392e-01,0.0226344
-4.98384e-01,0.021675
-4.98376e-01,0.0219375
-4.98368e-01,0.0223094
-4.98360e-01,0.022675
-4.98352e-01,0.020275
-4.98344e-01,0.0227875
-4.98336e-01,0.0217469
-4.98328e-01,0.0225219
-4.98320e-01,0.021725
-4.98312e-01,0.0246719
-4.98304e-01,0.0225375
-4.98296e-01,0.0226094
-4.98288e-01,0.0222219
-4.98280e-01,0.022975
-4.98272e-01,0.0236344
-4.98264e-01,0.02255
-4.98256e-01,0.0224125
-4.98248e-01,0.02205
-4.98240e-01,0.02355
-4.98232e-01,0.0218344
-4.98224e-01,0.0211719
-4.98216e-01,0.0222625
-4.98208e-01,0.0220875
-4.98200e-01,0.0225719
-4.98192e-01,0.0241969
-4.98184e-01,0.0224625
-4.98176e-01,0.022525
-4.98168e-01,0.0209219
-4.98160e-01,0.0215469
-4.98152e-01,0.0200125
-4.98144e-01,0.0231
-4.98136e-01,0.0225875
-4.98128e-01,0.0225469
-4.98120e-01,0.0236125
-4.98112e-01,0.021225
-4.98104e-01,0.0237375
-4.98096e-01,0.02175
-4.98088e-01,0.0216875
-4.98080e-01,0.02155
-4.98072e-01,0.0218094
-4.98064e-01,0.0222594
-4.98056e-01,0.0223719
-4.98048e-01,0.0228375
-4.98040e-01,0.0208844
-4.98032e-01,0.0221594
