Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.02
Sample Interval,1.6e-06
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
-1.0000e-01,0.00185156
-9.9998e-02,0.000734374
-9.9997e-02,0.00142969
-9.9995e-02,0.000242187
-9.9994e-02,0.00176562
-9.9992e-02,0.00182812
-9.9990e-02,0.00140625
-9.9989e-02,0.00142969
-9.9987e-02,0.0010625
-9.9986e-02,0.00177344
-9.9984e-02,0.000812499
-9.9982e-02,0.00163281
-9.9981e-02,0.000312499
-9.9979e-02,0.00138281
-9.9978e-02,0.000554687
-9.9976e-02,0.000929687
-9.9974e-02,0.001875
-9.9973e-02,0.00127344
-9.9971e-02,0.00155469
-9.9970e-02,0.00224219
-9.9968e-02,0.00185156
-9.9966e-02,0.000734374
-9.9965e-02,0.0015625
-9.9963e-02,0.000882812
-9.9962e-02,0.000757812
-9.9960e-02,0.000890624
-9.9958e-02,0.00127344
-9.9957e-02,0.000945312
-9.9955e-02,0.000578124
-9.9954e-02,0.000265624
-9.9952e-02,0.00110156
-9.9950e-02,0.00177344
-9.9949e-02,0.0019375
-9.9947e-02,0.00210156
-9.9946e-02,0.000937499
-9.9944e-02,0.0011875
-9.9942e-02,0.00140625
-9.9941e-02,1.5624e-05
-9.9939e-02,0.000874999
-9.9938e-02,0.00130469
-9.9936e-02,0.00132812
-9.9934e-02,0.00140625
-9.9933e-02,0.00159375
-9.9931e-02,0.000273437
-9.9930e-02,0.0019375
-9.9928e-02,0.00124219
-9.9926e-02,0.00197656
-9.9925e-02,0.00146094
-9.9923e-02,0.00158594
-9.9922e-02,0.0020625
-9.9920e-02,0.0015625
-9.9918e-02,0.00103906
-9.9917e-02,0.000890624
-9.9915e-02,0.000249999
-9.9914e-02,0.000624999
-9.9912e-02,0.00133594
-9.9910e-02,0.00177344
-9.9909e-02,0.0024375
-9.9907e-02,0.000171874
-9.9906e-02,0.002375
-9.9904e-02,0.00191406
-9.9902e-02,0.000609374
-9.9901e-02,0.000679687
-9.9899e-02,0.00144531
-9.9898e-02,0.000679687
-9.9896e-02,0.00150781
-9.9894e-02,0.00108594
-9.9893e-02,0.00120312
-9.9891e-02,0.00122656
-9.9890e-02,0.000554687
-9.9888e-02,0.000390624
-9.9886e-02,0.0010625
-9.9885e-02,0.00186719
-9.9883e-02,0.00153906
-9.9882e-02,0.000476562
-9.9880e-02,0.00167187
-9.9878e-02,0.00279687
-9.9877e-02,0.000382812
-9.9875e-02,0.000890624
-9.9874e-02,0.000867187
-9.9872e-02,0.000429687
-9.9870e-02,0.000687499
-9.9869e-02,0.00196875
-9.9867e-02,0.00113281
-9.9866e-02,0.002125
-9.9864e-02,0.00322656
-9.9862e-02,0.00158594
-9.9861e-02,0.000398437
-9.9859e-02,0.000960937
-9.9858e-02,1.5624e-05
-9.9856e-02,0.00117969
-9.9854e-02,0.00171094
-9.9853e-02,0.00208594
-9.9851e-02,0.00142969
-9.9850e-02,0.000406249
-9.9848e-02,0.00103906
-9.9846e-02,-0.000320313
-9.9845e-02,0.000289062
-9.9843e-02,0.00135937
-9.9842e-02,0.000906249
-9.9840e-02,0.00142969
-9.9838e-02,0.0019375
-9.9837e-02,0.00164844
-9.9835e-02,0.00158594
-9.9834e-02,0.00133594
-9.9832e-02,0.0015625
-9.9830e-02,0.000632812
-9.9829e-02,0.000132812
-9.9827e-02,0.000484374
-9.9826e-02,0.000460937
-9.9824e-02,-0.000500001
-9.9822e-02,0.000999999
-9.9821e-02,0.00169531
-9.9819e-02,0.00134375
-9.9818e-02,0.00146094
-9.9816e-02,0.00157031
-9.9814e-02,0.000281249
-9.9813e-02,0.000406249
-9.9811e-02,0.000289062
-9.9810e-02,0.00128125
-9.9808e-02,0.00110156
-9.9806e-02,0.000906249
-9.9805e-02,0.00153125
-9.9803e-02,0.00121875
-9.9802e-02,0.00115625
-9.9800e-02,0.00157812
-9.9798e-02,0.00220312
-9.9797e-02,0.00119531
-9.9795e-02,0.00229687
-9.9794e-02,-0.000148438
-9.9792e-02,0.00130469
-9.9790e-02,0.000273437
-9.9789e-02,0.000578124
-9.9787e-02,0.00151562
-9.9786e-02,0.000406249
-9.9784e-02,0.000593749
-9.9782e-02,0.000203124
-9.9781e-02,0.00177344
-9.9779e-02,0.0016875
-9.9778e-02,0.000562499
-9.9776e-02,0.000445312
-9.9774e-02,0.000234374
-9.9773e-02,0.000710937
-9.9771e-02,0.000765624
-9.9770e-02,0.00209375
-9.9768e-02,0.00129687
-9.9766e-02,0.000937499
-9.9765e-02,0.000664062
-9.9763e-02,0.00133594
-9.9762e-02,0.00145312
-9.9760e-02,0.00117187
-9.9758e-02,0.000726562
-9.9757e-02,0.000640624
-9.9755e-02,0.000124999
-9.9754e-02,-0.000289063
-9.9752e-02,0.000273437
-9.9750e-02,0.00129687
-9.9749e-02,0.000937499
-9.9747e-02,0.00176562
-9.9746e-02,0.00153125
-9.9744e-02,0.000937499
-9.9742e-02,0.00134375
-9.9741e-02,0.000585937
-9.9739e-02,0.000179687
-9.9738e-02,0.000593749
-9.9736e-02,0.000789062
-9.9734e-02,-4.6876e-05
-9.9733e-02,0.00196094
-9.9731e-02,0.000593749
-9.9730e-02,-0.000546876
-9.9728e-02,0.00110937
-9.9726e-02,0.000257812
-9.9725e-02,0.000718749
-9.9723e-02,0.00190625
-9.9722e-02,0.00144531
-9.9720e-02,0.00170312
-9.9718e-02,0.000640624
-9.9717e-02,0.00179687
-9.9715e-02,0.00190625
-9.9714e-02,0.00189062
-9.9712e-02,0.000937499
-9.9710e-02,0.00127344
-9.9709e-02,0.00149219
-9.9707e-02,0.000359374
-9.9706e-02,0.000734374
-9.9704e-02,0.000515624
-9.9702e-02,0.000562499
-9.9701e-02,0.001125
-9.9699e-02,0.000968749
-9.9698e-02,0.000343749
-9.9696e-02,0.000296874
-9.9694e-02,0.00184375
-9.9693e-02,0.000546874
-9.9691e-02,0.00133594
-9.9690e-02,0.000726562
-9.9688e-02,0.000664062
-9.9686e-02,-0.000593751
-9.9685e-02,0.000734374
-9.9683e-02,0.00245312
-9.9682e-02,3.90615e-05
-9.9680e-02,0.00150781
-9.9678e-02,0.000992187
-9.9677e-02,0.00210937
-9.9675e-02,0.00160156
-9.9674e-02,0.000906249
-9.9672e-02,0.00119531
-9.9670e-02,0.00115625
-9.9669e-02,0.001375
-9.9667e-02,0.00190625
-9.9666e-02,0.00172656
-9.9664e-02,0.00148437
-9.9662e-02,0.00285156
-9.9661e-02,0.00144531
-9.9659e-02,0.000859374
-9.9658e-02,0.000296874
-9.9656e-02,3.1249e-05
-9.9654e-02,0.0015
-9.9653e-02,0.00196094
-9.9651e-02,0.000882812
-9.9650e-02,0.000734374
-9.9648e-02,-0.000273438
-9.9646e-02,4.6874e-05
-9.9645e-02,0.000851562
-9.9643e-02,0.000859374
-9.9642e-02,0.0014375
-9.9640e-02,0.00121875
-9.9638e-02,0.000726562
-9.9637e-02,0.0011875
-9.9635e-02,0.00110156
-9.9634e-02,0.000539062
-9.9632e-02,-0.00108594
-9.9630e-02,0.000976562
-9.9629e-02,0.000593749
-9.9627e-02,0.00192187
-9.9626e-02,0.000687499
-9.9624e-02,0.000359374
-9.9622e-02,0.000414062
-9.9621e-02,0.00177344
-9.9619e-02,0.000671874
-9.9618e-02,0.000921874
-9.9616e-02,0.00104687
